response,label
"welcome back the multi player mode is currently activated to add a new player say for example, add joe say single player, to activate single player mode You have Blackjack (incl. Multiplayer-Mode) enabled. Do you want to open it? welcome back currently the multi player mode is activated to add a new player say for example, add joe say single player, to activate single player mode welcome back currently the multi player mode is activated to add a new player say for example, add joe say single player, to activate single player mode welcome back currently the multi player mode is activated to add a new player say for example, add joe say single player, to activate single player mode great. you successfully selected the multi player mode to add a new player say for example, add joe welcome. good to have you back the multi player mode is currently activated to add a new player say for example, add joe say single player, to activate single player mode say single player, to activate single player mode say multi player, to activate multi player mode say start over, to start the game to add a new player say for example, add joe to remove a new player say for example, remove joe okay. what do you want to do now? cheers",3
"Hmm, I have a few skills that can help. For Help, please visit the help pages on the Amazon web site.",14
"Sorry, I don't know that one. Sorry, I'm not sure. Hmm, I don't know that. Hmm, I'm not sure. For Help, please visit the help pages on the Amazon web site.",0
You have Movie Picker enabled. Do you want to open it? You have Movie Picker enabled. Do you want to open it? You have Movie Picker enabled. Do you want to open it? <Audio only response> You have Movie Picker enabled. Do you want to open it? <Audio only response>,5
<Short audio> <Short audio> <Short audio>,7
"A cat's meow can be assertive, plaintive, friendly, bold, welcoming, attention soliciting, demanding, or complaining. It can even be silent, where the cat opens its mouth but does not vocalize. Adult cats do not meow to each other, and so adult meowing to human beings is likely to be a post-domestication extension of mewing by kittens. A cat's meow can be assertive, plaintive, friendly, bold, welcoming, attention soliciting, demanding, or complaining. It can even be silent, where the cat opens its mouth but does not vocalize. Adult cats do not meow to each other, and so adult meowing to human beings is likely to be a post-domestication extension of mewing by kittens. Here's your Cat Fact! Cats take between 20 and 40 breaths per minute.",1
Here's your news. Here's your news. Here's your news.,4
"<Audio only response> Hello! Are you ready to hear some hilarious mixed metaphors? Just say yes! <Audio only response> Sorry, I don't know that one. For Help, please visit the help pages on the Amazon web site.",7
"<Short audio> <Short audio> Here are some things to try. You can say Pick up, and then the name of an item to pick it up. You can say Drop, and the name of an item to drop it. You can check what you are carrying by asking, What am I carrying? You can get a detailed description of any room you are in by saying, look around. You can get a list of exits by saying, what are the exits? You can get a list of spells you have learned by saying, what spells do I know? You move by saying, go, and then the direction you want to go. If there is a door to the north, you can say, go north. Or go through the north door. You can simply say, go door, as long as there is only one door. You can go up and down, if it's a ladder or stairs. You can examine things in detail by saying, look, and the name of the item. Clues are often exposed by looking at things. You can look at items, people, monsters, and exits. You can open items that are containers for other items. You can search rooms or items by saying, search room, or search and the name of the item, in case you think there might be something hidden. You can name yourself at any time by saying, my name is, and then what you want to be called. When you meet other people or monsters in the game, you can tell them to speak, or say hello to them. Some items can be read, you just say, read, and then the name of the item. If you have a spell to cast, you can say, cast, then the name of the spell. Or speak these words: say, and the name of the thing you want to say. If you are answering someone's question, just say, say, and the thing you want to say. If you get into a fight, just say, use, and the name of the item you want to use on your turn. Or cast a spell. You can say, run away, if you want to try to escape. You can say, give me a minute, or hold on a second, if you need some time to think. If you have upgraded your account you can say, I need a hint.If you're tired of hearing me say, what do you want to do now after every room description, just say, turn prompts off.You can say, quit game, or game over, if you are done playing. For a complete list, visit our web site at daysfly.com. What do you want to do now? Hmm, I don't know that.",3
"This might answer your question: Amazon Alexa started in 2014. Welcome to Meditation Studio. Weäó»re happy youäó»re here. We have guided meditations to help you feel great. You can request a meditation by topic, teacher or meditation. Our topics on Alexa are Sleep, Stress, Happiness and Performance. What would you like to play today? You have Ask My Buddy enabled. Do you want to open it? Welcome to Ask My Buddy, Who would you like to alert ? you can say alert with a name from your contact list, or alert everyone, what would you like to do ?",4
Here's your news. Here's your news. Here's your news.,0
"I found a few matches for that. I found a few matches for that. I canÛªt find that skill. To find skills, go to the Skills section of the Alexa App. Hmm, I have a few skills that can help. I canÛªt find that skill. To find skills, go to the Skills section of the Alexa App.",3
