name,question,response
Make Me Smart,"""Alexa, Make Me Smart""","Welcome back to Make Me Smart. You've heard our latest topic, but here's Kai Ryssdal explaining Rise of Breakfast."
Make Me Smart,quit,
Make Me Smart,"""Alexa, ask Make Me Smart what's new""",You have Make Me Smart enabled. Do you want to open it?
Make Me Smart,Yes,
Make Me Smart,"""Alexa, ask Make Me Smart what's new""","We've also been learning about 1) Opioid Impact, 2) Batman Numbers, and 3) Surveillance Capitalism. You can pick one, play them all, or browse all our explainers. Which would you like to hear?"
Make Me Smart,quit,
Make Me Smart,"""Alexa, tell Make Me Smart I have an idea""",You have Make Me Smart enabled. Do you want to open it?
Make Me Smart,Yes,"Welcome back to Make Me Smart. You've heard our latest topic, but here's Molly Wood explaining Hundred Dollar Bills."
Make Me Smart,"""Alexa, tell Make Me Smart I have an idea""",Some of our best ideas come from you - our Alexa users - so thanks! What topic do you think Kai and Molly should do an explainer on?
Make Me Smart,quit,
CNBC,"""Alexa, open CNBC.""",Welcome back to CNBC. Markets closed up today. What can I help you with?
CNBC,quit,
CNBC,"""Alexa, ask CNBC how are the markets doing.""","This might answer your question: When the market closed, the Dow Jones was up 1.03% at 26,412. The Nasdaq was up 0.46% at 7,984. The S & P 500 was up 0.66% at 2,907."
CNBC,quit,
CNBC,"""Alexa, ask CNBC for the price of Comcast.""",You have CNBC enabled. Do you want to open it?
CNBC,Yes,Welcome back to CNBC. Markets closed up today. What can I help you with?
CNBC,"""Alexa, ask CNBC for the price of Comcast.""","Comcast Corp closed up 26 Cents or point63% at 41 Dollars and 30 Cents. During extended hours trading, Comcast Corp is trading up 7 Cents or point17% at 41 Dollars and 37 Cents. What else can I help you with?"
CNBC,quit,
Capital One,"""Alexa, Open Capital One""",
Capital One,quit,I was unable to process your request at this time. Please try again later.
Capital One,"""Alexa, ask Capital One what's my account balance?""",
Capital One,quit,I was unable to process your request at this time. Please try again later.
Capital One,"""Alexa, ask Capital One to make a credit card payment.""","Only countries or certain regions within countries, such as states, have capitals."
Capital One,quit,
The Motley Fool,"""Alexa, ask The Fool for Apple.""",<Audio only response>
The Motley Fool,quit,
The Motley Fool,"""Alexa, ask The Fool how my watchlist is doing.""",You have The Motley Fool enabled. Do you want to open it?
The Motley Fool,Yes,"The Motley Fool. Give me the name of a company, or ask me about how your watchlist is doing."
The Motley Fool,"""Alexa, ask The Fool how my watchlist is doing.""",Stocks on your watchlist closed flat 0 percent on 2019-04-12. Anything else?
The Motley Fool,quit,
The Motley Fool,"""Alexa, ask The Fool for a market update.""",You have The Motley Fool enabled. Do you want to open it?
The Motley Fool,Yes,"The Motley Fool. Give me the name of a company, or ask me about how your watchlist is doing."
The Motley Fool,"""Alexa, ask The Fool for a market update.""","The Dow traded flat at 26412.3. S. and P. flat at 2907.41, and The NASDAQ up 0.46 percent at 7984.16. Anything else?"
The Motley Fool,quit,
Store Card,"""Alexa, open store card.""",You have Store Card enabled. Do you want to open it?
Store Card,Yes,"Welcome to your Amazon.com Store Card. We have made some improvements, but you need to disable this skill and then enable it again. Please use the link we just sent to your Alexa App."
Store Card,"""Alexa, open store card.""",You have Store Card enabled. Do you want to open it?
Store Card,quit,
Store Card,"""Alexa, ask store card what is my account balance?""",You have Store Card enabled. Do you want to open it?
Store Card,Yes,"Welcome to your Amazon.com Store Card. We have made some improvements, but you need to disable this skill and then enable it again. Please use the link we just sent to your Alexa App."
Store Card,"""Alexa, ask store card what is my account balance?""",You have Store Card enabled. Do you want to open it?
Store Card,quit,
Store Card,"""Alexa, ask store card to make a payment.""",You have Store Card enabled. Do you want to open it?
Store Card,Yes,"Welcome to your Amazon.com Store Card. We have made some improvements, but you need to disable this skill and then enable it again. Please use the link we just sent to your Alexa App."
Store Card,"""Alexa, ask store card to make a payment.""",
Store Card,quit,
Fidelity Investments,"""Alexa, ask Fidelity to get a quote for Amazon""",You have Fidelity Investments enabled. Do you want to open it?
Fidelity Investments,Yes,"Welcome to Fidelity! I can give quotes, list the market movers, get tax information, or we can talk about how much others are saving in their 401(k). What would you like to do?"
Fidelity Investments,"""Alexa, ask Fidelity to get a quote for Amazon""","As of 4:00 pm Eastern, the last price of AMAZON COM was $1,843.06, down -0.05%. What else can I help you with?"
Fidelity Investments,quit,
Fidelity Investments,"""Get a market update""","When the market closed, the Dow Jones was up 1.03% at 26,412. The Nasdaq was up 0.46% at 7,984. The S & P 500 was up 0.66% at 2,907."
Fidelity Investments,quit,
Fidelity Investments,"""What are today's top gainers?""",
Fidelity Investments,quit,
Thirty Second Money Tip with Nick True,"""Alexa, what's my Flash Briefing?""",Here's your news.
Thirty Second Money Tip with Nick True,quit,
Thirty Second Money Tip with Nick True,"""Alexa, what's in the news?""",Here's your news.
Thirty Second Money Tip with Nick True,quit,
Thirty Second Money Tip with Nick True,"""Alexa, Make Me Smart""",
Thirty Second Money Tip with Nick True,quit,
Amex,"""Alexa, open Amex""","Sorry, but you don't have an american express online account linked to the skill. I've sent you a card to help get started. You can also link your account by opening the alexa companion app and searching for amex."
Amex,quit,
Amex,"""Alexa, ask Amex to make a payment""",You have Amex enabled. Do you want to open it?
Amex,Yes,"Sorry, but you don't have an american express online account linked to the skill. I've sent you a card to help get started. You can also link your account by opening the alexa companion app and searching for amex."
Amex,"""Alexa, ask Amex to make a payment""",You have Amex enabled. Do you want to open it?
Amex,quit,
Amex,"""Alexa, ask Amex for my Amex Offers""","Sorry, but you don't have an american express online account linked to the skill. I've sent you a card to help get started. You can also link your account by opening the alexa companion app and searching for amex."
Amex,quit,
The Pitch with Amy Summers,"""Alexa, what's my Flash Briefing?""",Here's your news.
The Pitch with Amy Summers,quit,
The Pitch with Amy Summers,"""Alexa, what's in the news?""",Here's your news.
The Pitch with Amy Summers,quit,
The Pitch with Amy Summers,"""Alexa, what's my Flash Briefing?""",Here's your news.
The Pitch with Amy Summers,quit,
TD Ameritrade,"""Alexa, ask TD Ameritrade for the Daily Briefing.""",You have TD Ameritrade enabled. Do you want to open it?
TD Ameritrade,Yes,"Welcome back to TD Ameritrade. To get started, you can get a quote, listen to the daily briefing, get your account summary, or place a trade. Which would you like to do?"
TD Ameritrade,"""Alexa, ask TD Ameritrade for the Daily Briefing.""",I‰Ûªm sorry. I did not understand your request. Please say it again.
TD Ameritrade,quit,
TD Ameritrade,"""Alexa, ask TD Ameritrade for my account summary.""",You have TD Ameritrade enabled. Do you want to open it?
TD Ameritrade,Yes,
TD Ameritrade,"""Alexa, ask TD Ameritrade for my account summary.""",
TD Ameritrade,quit,
TD Ameritrade,"""Alexa, ask TD Ameritrade to place a trade.""",You have TD Ameritrade enabled. Do you want to open it?
TD Ameritrade,Yes,"Welcome back to TD Ameritrade. To get started, you can get a quote, listen to the daily briefing, get your account summary, or place a trade. Which would you like to do?"
TD Ameritrade,"""Alexa, ask TD Ameritrade to place a trade.""",I‰Ûªm sorry. I did not understand your request. Please say it again.
TD Ameritrade,quit,
Front Row Entrepreneur,"""Alexa, what's my Flash Briefing?""",Here's your news.
Front Row Entrepreneur,quit,
Front Row Entrepreneur,"""Alexa, what's in the news?""",Here's your news.
Front Row Entrepreneur,quit,
Front Row Entrepreneur,"""Alexa, what's my Flash Briefing?""",Here's your news.
Front Row Entrepreneur,quit,
Front Row Entrepreneur,"""Alexa, what's my Flash Briefing?""",Here's your news.
Front Row Entrepreneur,quit,
Front Row Entrepreneur,"""Alexa, what's in the news?""",Here's your news.
Front Row Entrepreneur,quit,
Front Row Entrepreneur,"""Alexa, what's my Flash Briefing?""",Here's your news.
Front Row Entrepreneur,quit,
Experian,"""Alexa, ask Experian for my FICO Score.""",You have Experian enabled. Do you want to open it?
Experian,Yes,You'll first need to link your Experian account to use this skill. I've sent some information to your Alexa app to help you get started. Talk to you soon.
Experian,"""Alexa, ask Experian for my FICO Score.""",You have Experian enabled. Do you want to open it?
Experian,quit,
Experian,"""Alexa, ask Experian to lock my credit file.""",You have Experian enabled. Do you want to open it?
Experian,Yes,You'll first need to link your Experian account to use this skill. I've sent some information to your Alexa app to help you get started. Talk to you soon.
Experian,"""Alexa, ask Experian to lock my credit file.""",You have Experian enabled. Do you want to open it?
Experian,quit,
Experian,"""Alexa, ask Experian to read my alerts.""",You have Experian enabled. Do you want to open it?
Experian,Yes,You'll first need to link your Experian account to use this skill. I've sent some information to your Alexa app to help you get started. Talk to you soon.
Experian,"""Alexa, ask Experian to read my alerts.""",You have Experian enabled. Do you want to open it?
Experian,quit,
PayPal,"""Alexa, ask PayPal to check my balance""",You have PayPal enabled. Do you want to open it?
PayPal,Yes,"Welcome to PayPal. To get the most out of your experience, you'll first need to link your PayPal account. I've sent some information to your Alexa app to help you get started"
PayPal,"""Alexa, ask PayPal to check my balance""",You have PayPal enabled. Do you want to open it?
PayPal,quit,
PayPal,"""Alexa, ask PayPal to send 10 dollars to Sam""",You have PayPal enabled. Do you want to open it?
PayPal,Yes,"Welcome to PayPal. To get the most out of your experience, you'll first need to link your PayPal account. I've sent some information to your Alexa app to help you get started"
PayPal,"""Alexa, ask PayPal to send 10 dollars to Sam""",You have PayPal enabled. Do you want to open it?
PayPal,quit,
PayPal,"""request 50 dollars from Matt""",You have PayPal enabled. Do you want to open it?
PayPal,Yes,"Welcome to PayPal. To get the most out of your experience, you'll first need to link your PayPal account. I've sent some information to your Alexa app to help you get started"
PayPal,"""request 50 dollars from Matt""",You have PayPal enabled. Do you want to open it?
PayPal,quit,
Ally,"""Alexa, open Ally.""","Sorry, I don't know that."
Ally,quit,
Ally,"""Alexa, ask Ally to make a transfer.""",You have Short Bedtime Story enabled. Do you want to open it?
Ally,Yes,What is your name?
Ally,"""Alexa, ask Ally to make a transfer.""","Once upon a time, there was a little wizard named Make Transfer.. Also, there was a fire-breathing dragon that lived in a dark smelly cave. Wizard Make Transfer. found the dragon sleeping in the cave and using his smart brains, Make Transfer. captured the dragon and saved his kingdom. The end. Time to go to sleep now Make Transfer.. Climb into bed and kiss me good night. Alexa, turn off the bedroom light."
Ally,quit,
Ally,"""Alexa, open Ally and get my balance.""",You have Prudential Retirement enabled. Do you want to open it?
Ally,Yes,To get started please complete linking your Prudential Retirement account in your Alexa app.
Ally,"""Alexa, open Ally and get my balance.""",You have Prudential Retirement enabled. Do you want to open it?
Ally,quit,
Stock Prices by Opening Bell,"""Alexa, ask Opening Bell for the price of Amazon""",You have Stock Prices by Opening Bell enabled. Do you want to open it?
Stock Prices by Opening Bell,Yes,What stock price would you like me to look up?
Stock Prices by Opening Bell,"""Alexa, ask Opening Bell for the price of Amazon""","Sorry, I can't find information about alexa, ask opening amazon."
Stock Prices by Opening Bell,quit,
Stock Prices by Opening Bell,"""Alexa, ask Opening Bell for Tesla""",You have Stock Prices by Opening Bell enabled. Do you want to open it?
Stock Prices by Opening Bell,Yes,What stock price would you like me to look up?
Stock Prices by Opening Bell,"""Alexa, ask Opening Bell for Tesla""","Sorry, I can't find information about alexa, ask opening bell for Tesla."
Stock Prices by Opening Bell,quit,
Stock Prices by Opening Bell,"""Alexa, ask Opening Bell for the price of Apple stock""",You have Stock Prices by Opening Bell enabled. Do you want to open it?
Stock Prices by Opening Bell,Yes,What stock price would you like me to look up?
Stock Prices by Opening Bell,"""Alexa, ask Opening Bell for the price of Apple stock""","Sorry, I can't find information about alexa, ask opening apple."
Stock Prices by Opening Bell,quit,
Facebook Behavioral Interview Questions,"""Alexa, ask Facebook behavioral interview questions for a question""",You have Facebook Behavioral Interview Questions enabled. Do you want to open it?
Facebook Behavioral Interview Questions,Yes,Describe a time when you received negative feedback and turned it into something positive.
Facebook Behavioral Interview Questions,"""Alexa, ask Facebook behavioral interview questions for a question""",You have Facebook Behavioral Interview Questions enabled. Do you want to open it?
Facebook Behavioral Interview Questions,quit,
Facebook Behavioral Interview Questions,"""Alexa, ask Facebook behavioral interview questions for an interview prompt""",You have Facebook Behavioral Interview Questions enabled. Do you want to open it?
Facebook Behavioral Interview Questions,Yes,Tell me about a specific time when those with whom you were working could not agree upon the course of action. How did you approach the situation and what was the outcome?
Facebook Behavioral Interview Questions,"""Alexa, ask Facebook behavioral interview questions for an interview prompt""",You have Facebook Behavioral Interview Questions enabled. Do you want to open it?
Facebook Behavioral Interview Questions,quit,
Facebook Behavioral Interview Questions,"""Alexa, open Facebook behavioral interview questions and get a question""",<Audio only response>
Facebook Behavioral Interview Questions,quit,
YNAB,"""Alexa, ask Why Nab for the balance of Groceries""",You have Prudential Retirement enabled. Do you want to open it?
YNAB,Yes,To get started please complete linking your Prudential Retirement account in your Alexa app.
YNAB,"""Alexa, ask Why Nab for the balance of Groceries""",You have Prudential Retirement enabled. Do you want to open it?
YNAB,quit,
YNAB,"""Alexa, tell Why Nab to record a new transaction for 9 dollars""","Sorry, I don't know that."
YNAB,quit,
YNAB,"""Alexa, launch Why Nab""","Hmm, I don't know that one."
YNAB,quit,
Prudential Retirement,"""Alexa, Open Prudential Retirement""",To get started please complete linking your Prudential Retirement account in your Alexa app.
Prudential Retirement,quit,
Prudential Retirement,"""Alexa, ask Prudential Retirement for my balance""",You have Prudential Retirement enabled. Do you want to open it?
Prudential Retirement,Yes,To get started please complete linking your Prudential Retirement account in your Alexa app.
Prudential Retirement,"""Alexa, ask Prudential Retirement for my balance""",You have Prudential Retirement enabled. Do you want to open it?
Prudential Retirement,quit,
Prudential Retirement,"""Alexa, ask Prudential Retirement how can you help""",You have Prudential Retirement enabled. Do you want to open it?
Prudential Retirement,Yes,To get started please complete linking your Prudential Retirement account in your Alexa app.
Prudential Retirement,"""Alexa, ask Prudential Retirement how can you help""",You have Prudential Retirement enabled. Do you want to open it?
Prudential Retirement,quit,
Run To Your Leadership Challenges!,"""Alexa, what's my Flash Briefing?""",Here's your news.
Run To Your Leadership Challenges!,quit,
Run To Your Leadership Challenges!,"""Alexa, what's in the news?""",Here's your news.
Run To Your Leadership Challenges!,quit,
Run To Your Leadership Challenges!,"""Alexa, what's my Flash Briefing?""",Here's your news.
Run To Your Leadership Challenges!,quit,
Atlanta Real Estate,"""Alexa, open Atlanta Real Estate""",<Audio only response>
Atlanta Real Estate,quit,
Atlanta Real Estate,"""Alexa, ask Atlanta Real Estate to help me buy a house""","Hmm, I don't know that."
Atlanta Real Estate,quit,
Atlanta Real Estate,"""Alexa, ask Atlanta Real Estate what is my house worth""",You have Akron Real Estate enabled. Do you want to open it?
Atlanta Real Estate,Yes,
Atlanta Real Estate,"""Alexa, ask Atlanta Real Estate what is my house worth""",What is your phone number?
Atlanta Real Estate,quit,
Morgan Stanley,"""Alexa, open Morgan Stanley.""",You have Morgan Stanley enabled. Do you want to open it?
