name,question,response
Make Me Smart,"Alexa, open Make Me Smart","Welcome back to Make Me Smart. You've heard our latest topic, but here's Molly Wood explaining Feminist Economics."
Make Me Smart,help,"You can say next or replay, hear what's new, or submit your idea for an explainer. What would you like to do?"
Make Me Smart,stop,
Make Me Smart,quit,
CNBC,"Alexa, open CNBC",You have CNBC enabled. Do you want to open it?
CNBC,Yes,"Welcome back to CNBC. The markets are closed. On April 12th, markets closed up. What can I help you with?"
CNBC,help,"CNBC offers real-time quotes for stocks, futures, indexes and cryptocurrencies. You can also get a market update, catch up on the latest business news, watch top videos and the Cramer Remix, and listen to CNBC podcasts. You can say repeat to hear this list again. What would you like?"
CNBC,stop,Thanks for talking to CNBC.
CNBC,quit,
Capital One,"Alexa, open Capital One",
Capital One,help,"For Help, please visit the help pages on the Amazon web site."
Capital One,stop,
Capital One,quit,
The Motley Fool,"Alexa, open The Motley Fool",You have The Motley Fool enabled. Do you want to open it?
The Motley Fool,Yes,"The Motley Fool. Give me the name of a company, or ask me about how your watchlist is doing."
The Motley Fool,help,"Sure, here's some help. I can quote you stock information, information about a specific index, or about how the market is doing overall. I can also give you a summary about how your watchlist is doing, add a stock to your watchlist or remove a stock from it. Now, give me the name of a company or ask me about your watchlist."
The Motley Fool,stop,
The Motley Fool,quit,
Store Card,"Alexa, open Store Card",You have Store Card enabled. Do you want to open it?
Store Card,Yes,"Welcome to your Amazon.com Store Card. We have made some improvements, but you need to disable this skill and then enable it again. Please use the link we just sent to your Alexa App."
Store Card,help,"For Help, please visit the help pages on the Amazon web site."
Store Card,stop,
Store Card,quit,
Fidelity Investments,"Alexa, open Fidelity Investments","Welcome to Fidelity! I can give quotes, list the market movers, get tax information, or we can talk about how much others are saving in their 401(k). What would you like to do?"
Fidelity Investments,help,"You can ask Fidelity for a quote, the market update, today's market movers, tax form information, or about how much people are saving in their 401(k). For example, you could say, How is the market doing today? Or What are the top gainers? What would you like to do?"
Fidelity Investments,stop,"Thanks, come back soon."
Fidelity Investments,quit,
Thirty Second Money Tip with Nick True,"Alexa, open Thirty Second Money Tip with Nick True",<Audio only response>
Thirty Second Money Tip with Nick True,help,"For Help, please visit the help pages on the Amazon web site."
Thirty Second Money Tip with Nick True,stop,
Thirty Second Money Tip with Nick True,quit,
Amex,"Alexa, open Amex","Sorry, but you don't have an american express online account linked to the skill. I've sent you a card to help get started. You can also link your account by opening the alexa companion app and searching for amex."
Amex,help,"For Help, please visit the help pages on the Amazon web site."
Amex,stop,
Amex,quit,
The Pitch with Amy Summers,"Alexa, open The Pitch with Amy Summers","Sorry, Iâ€™m not sure about that."
The Pitch with Amy Summers,help,"For Help, please visit the help pages on the Amazon web site."
The Pitch with Amy Summers,stop,
The Pitch with Amy Summers,quit,
TD Ameritrade,"Alexa, open TD Ameritrade",You have TD Ameritrade enabled. Do you want to open it?
TD Ameritrade,Yes,"Welcome back to TD Ameritrade. To get started, you can get a quote, listen to the daily briefing, get your account summary, or place a trade. Which would you like to do?"
TD Ameritrade,help,"I can help you place trades, review your accounts, and stay tuned-in with whatâ€™s happening in the markets. You can say things like, â€œplace a tradeâ€ù or â€œcheck my accounts.â€ù I sent more info to your Alexa app. So, how can I help you?"
TD Ameritrade,stop,"Ok, good bye!"
TD Ameritrade,quit,
Front Row Entrepreneur,"Alexa, open Front Row Entrepreneur","Sorry, Iâ€™m not sure about that."
Front Row Entrepreneur,help,"For Help, please visit the help pages on the Amazon web site."
Front Row Entrepreneur,stop,
Front Row Entrepreneur,quit,
Experian,"Alexa, open Experian",You have Experian enabled. Do you want to open it?
Experian,Yes,You'll first need to link your Experian account to use this skill. I've sent some information to your Alexa app to help you get started. Talk to you soon.
Experian,help,"For Help, please visit the help pages on the Amazon web site."
Experian,stop,
Experian,quit,
PayPal,"Alexa, open PayPal","Welcome to PayPal. To get the most out of your experience, you'll first need to link your PayPal account. I've sent some information to your Alexa app to help you get started"
PayPal,help,"For Help, please visit the help pages on the Amazon web site."
PayPal,stop,
PayPal,quit,
Ally,"Alexa, open Ally","Sorry, I'm not sure."
Ally,help,"For Help, please visit the help pages on the Amazon web site."
Ally,stop,
Ally,quit,
Stock Prices by Opening Bell,"Alexa, open Stock Prices by Opening Bell",
Stock Prices by Opening Bell,help,"For Help, please visit the help pages on the Amazon web site."
Stock Prices by Opening Bell,stop,
Stock Prices by Opening Bell,quit,
Facebook Behavioral Interview Questions,"Alexa, open Facebook Behavioral Interview Questions",Tell us about a job or setting where great attention to detail was required to complete a task. What steps were involved? How did you handle that situation?
Facebook Behavioral Interview Questions,help,"For Help, please visit the help pages on the Amazon web site."
Facebook Behavioral Interview Questions,stop,
Facebook Behavioral Interview Questions,quit,
YNAB,"Alexa, open YNAB","Sorry, I don't know that one."
YNAB,help,"For Help, please visit the help pages on the Amazon web site."
YNAB,stop,
YNAB,quit,
Prudential Retirement,"Alexa, open Prudential Retirement",To get started please complete linking your Prudential Retirement account in your Alexa app.
Prudential Retirement,help,"For Help, please visit the help pages on the Amazon web site."
Prudential Retirement,stop,
Prudential Retirement,quit,
Run To Your Leadership Challenges!,"Alexa, open Run To Your Leadership Challenges!","Hmm, I don't know that."
Run To Your Leadership Challenges!,help,"For Help, please visit the help pages on the Amazon web site."
Run To Your Leadership Challenges!,stop,
Run To Your Leadership Challenges!,quit,
Atlanta Real Estate,"Alexa, open Atlanta Real Estate",<Audio only response>
Atlanta Real Estate,help,"For Help, please visit the help pages on the Amazon web site."
Atlanta Real Estate,stop,
Atlanta Real Estate,quit,
Morgan Stanley,"Alexa, open Morgan Stanley",
Morgan Stanley,help,"What would you like to know more about? You can say: Ideas Briefing, the ideas Podcast, Thoughts on the Market, Jargon Buster or Get to Know Morgan Stanley."
Morgan Stanley,stop,Goodbye!
Morgan Stanley,quit,
Bloomberg,"Alexa, open Bloomberg","Welcome to Bloomberg. You can hear Bloomberg Market Minute, or ask what can I say for more options."
Bloomberg,help,"You can say things like What's the price for amazon?, Play market minute, What is Bloomberg?, What can I help you with?"
Bloomberg,stop,GoodBye
Bloomberg,quit,
Pete's Points - Business and Leadership Strategies,"Alexa, open Pete's Points - Business and Leadership Strategies","I couldn't find alexa, open pete's points - business and leadership strategies."
Pete's Points - Business and Leadership Strategies,help,"For Help, please visit the help pages on the Amazon web site."
Pete's Points - Business and Leadership Strategies,stop,
Pete's Points - Business and Leadership Strategies,quit,
Ohio Real Estate,"Alexa, open Ohio Real Estate","You have Disher, Hamrick & Myers Residential Real Estate enabled. Do you want to open it?"
Ohio Real Estate,Yes,"Welcome to Disher, Hamrick and Myers Residential Real Estate in beautiful Charleston, South Carolina. We look forward to helping you with all your home buying and selling needs in the greater Charleston, SC market. To learn more about our agency, say ""About Us"". You can also ask about our ""Location"", ""Get Directions"", ""Hours of Operation"", or ""Phone Number"". What can I help you with?"
Ohio Real Estate,help,"I can help you answer many questions about our business. You can say things like ""About Us"" or ""Location"", or ""Hours of Operation"". You can also get ""Directions"" or ""Contact Information"". What would you like to know?"
Ohio Real Estate,stop,"Sorry, I'm having trouble accessing your Disher, Hamrick & Myers Residential Real Estate skill right now"
Ohio Real Estate,quit,
Akron Real Estate,"Alexa, open Akron Real Estate",
Akron Real Estate,help,I need you to link your account so that I can email you your results. Please check your alexa app or tell me your phone number with area code first. You can say goodbye to exit
Akron Real Estate,stop,goodbye and thank you for using Berkshire Hathaway HomeServices Professional Realty's skill.
Akron Real Estate,quit,
BCCS Law,"Alexa, open BCCS Law","We will attend the MARQUES meeting in Paris in September. We hope to see you there. The following information might interest you: As a general rule, the rights in a mark are acquired through registration. The Philippines follow the first-to-file system. A suit for infringement of a mark is only possible if the trade mark is registered."
BCCS Law,help,"For Help, please visit the help pages on the Amazon web site."
BCCS Law,stop,
BCCS Law,quit,
Cincinnati Real Estate,"Alexa, open Cincinnati Real Estate",<Audio only response>
Cincinnati Real Estate,help,"For Help, please visit the help pages on the Amazon web site."
Cincinnati Real Estate,stop,
Cincinnati Real Estate,quit,
Cleveland Real Estate,"Alexa, open Cleveland Real Estate",<Audio only response>
Cleveland Real Estate,help,"For Help, please visit the help pages on the Amazon web site."
Cleveland Real Estate,stop,
Cleveland Real Estate,quit,
Dayton Real Estate,"Alexa, open Dayton Real Estate",<Audio only response>
Dayton Real Estate,help,"For Help, please visit the help pages on the Amazon web site."
Dayton Real Estate,stop,
Dayton Real Estate,quit,
Columbus Real Estate,"Alexa, open Columbus Real Estate",Please check your alexa app to link your account or tell me your phone number with area code and I will send you a text to link your account. What is your phone number?
Columbus Real Estate,help,I need you to link your account so that I can email you your results. Please check your alexa app or tell me your phone number with area code first. You can say goodbye to exit
Columbus Real Estate,stop,goodbye and thank you for using Berkshire Hathaway HomeServices Professional Realty's skill.
Columbus Real Estate,quit,
My Home Agent - Find a Realtor & Sell My Home,"Alexa, open My Home Agent - Find a Realtor & Sell My Home","Hmm, I'm not sure."
My Home Agent - Find a Realtor & Sell My Home,help,"For Help, please visit the help pages on the Amazon web site."
My Home Agent - Find a Realtor & Sell My Home,stop,
My Home Agent - Find a Realtor & Sell My Home,quit,
Sowing Seed Flash Briefing,"Alexa, open Sowing Seed Flash Briefing",Here's your news.
Sowing Seed Flash Briefing,help,"For Help, please visit the help pages on the Amazon web site."
Sowing Seed Flash Briefing,stop,
Sowing Seed Flash Briefing,quit,
Motley Fool Stock Watch,"Alexa, open Motley Fool Stock Watch","The Motley Fool. Give me the name of a company, or ask me about how your watchlist is doing."
Motley Fool Stock Watch,help,"Sure, here's some help. I can quote you stock information, information about a specific index, or about how the market is doing overall. I can also give you a summary about how your watchlist is doing, add a stock to your watchlist or remove a stock from it. Now, give me the name of a company or ask me about your watchlist."
Motley Fool Stock Watch,stop,
Motley Fool Stock Watch,quit,
Fox Business,"Alexa, open Fox Business","Fox Business is in your Flash Briefing; to hear it, just say, Whatâ€™s my Flash Briefing. To manage it, go to your Alexa App, tap on settings, then select Flash Briefing."
Fox Business,help,"For Help, please visit the help pages on the Amazon web site."
Fox Business,stop,
Fox Business,quit,
Harvard Business Review: Management Tip,"Alexa, open Harvard Business Review: Management Tip","Harvard Business Review: Management Tip is in your Flash Briefing; to hear it, just say, Whatâ€™s my Flash Briefing. To manage it, go to your Alexa App, tap on settings, then select Flash Briefing."
Harvard Business Review: Management Tip,help,"For Help, please visit the help pages on the Amazon web site."
Harvard Business Review: Management Tip,stop,
Harvard Business Review: Management Tip,quit,
Mike Hrezo - Valencia Real Estate,"Alexa, open Mike Hrezo - Valencia Real Estate",<Audio only response>
Mike Hrezo - Valencia Real Estate,help,"For Help, please visit the help pages on the Amazon web site."
Mike Hrezo - Valencia Real Estate,stop,
Mike Hrezo - Valencia Real Estate,quit,
Real Estate,"Alexa, open Real Estate",Please check your alexa app to link your account or tell me your phone number with area code and I will send you a text to link your account. What is your phone number?
Real Estate,help,I need you to link your account so that I can email you your results. Please check your alexa app or tell me your phone number with area code first. You can say goodbye to exit
Real Estate,stop,goodbye and thank you for using Berkshire Hathaway HomeServices Professional Realty's skill.
Real Estate,quit,
Coinbase Bitcoin/Ethereum Price,"Alexa, open Coinbase Bitcoin/Ethereum Price","Hi, feel free to ask me for bitcoin price."
Coinbase Bitcoin/Ethereum Price,help,"Hi, feel free to ask me for bitcoin price."
Coinbase Bitcoin/Ethereum Price,stop,Bye!
Coinbase Bitcoin/Ethereum Price,quit,
BrewResearch,"Alexa, open BrewResearch","Sorry, I don't know that one."
BrewResearch,help,"For Help, please visit the help pages on the Amazon web site."
BrewResearch,stop,
BrewResearch,quit,
The Mastermind Blueprint: Building A Richer Life,"Alexa, open The Mastermind Blueprint: Building A Richer Life",I couldn't find any enabled video skills that can play that. Go to the Alexa app to manage your video skills and devices.
The Mastermind Blueprint: Building A Richer Life,help,"For Help, please visit the help pages on the Amazon web site."
The Mastermind Blueprint: Building A Richer Life,stop,
The Mastermind Blueprint: Building A Richer Life,quit,
Business Leadership Series,"Alexa, open Business Leadership Series",Starting your book.
Business Leadership Series,help,"For Help, please visit the help pages on the Amazon web site."
Business Leadership Series,stop,
Business Leadership Series,quit,
The Money Making Minute,"Alexa, open The Money Making Minute",You have PayPal enabled. Do you want to open it?
The Money Making Minute,Yes,"Welcome to PayPal. To get the most out of your experience, you'll first need to link your PayPal account. I've sent some information to your Alexa app to help you get started"
The Money Making Minute,help,"For Help, please visit the help pages on the Amazon web site."
The Money Making Minute,stop,
The Money Making Minute,quit,
U.S. Bank,"Alexa, open U.S. Bank",
