name,question,response
Word of the Day Flash Briefing,"""Alexa, what's my Flash Briefing?""",Here's your news.
Word of the Day Flash Briefing,quit,
Word of the Day Flash Briefing,"""Alexa, what's in the news?""",Here's your news.
Word of the Day Flash Briefing,quit,
Word of the Day Flash Briefing,"""Alexa, what's my Flash Briefing?""",Here's your news.
Word of the Day Flash Briefing,quit,
Translated,"""Alexa open Translated""",Welcome to Translated skill. What would you like to translate?
Translated,quit,
Translated,"""Alexa ask Translated how do you say how are you in Japanese""",how are you in japanese is
Translated,quit,
Translated,"""Alexa ask Translated to say it's a wonderful day in Russian""",it's a wonderful day in russian is
Translated,quit,
Zoo Keeper,"""Alexa, ask Zoo Keeper, what does a zebra say?""",You have Zoo Keeper enabled. Do you want to open it?
Zoo Keeper,Yes,Welcome to Zookeeper. Say the name of an animal or ask for help
Zoo Keeper,"""Alexa, ask Zoo Keeper, what does a zebra say?""","Sorry, I don't know that one. Say another animal."
Zoo Keeper,quit,
Zoo Keeper,"""Alexa, tell Zoo Keeper to make a sound like a whale.""","Hmm, I don't know that one."
Zoo Keeper,quit,
Zoo Keeper,"""Alexa, ask Zoo Keeper, what's new?""",You have Zoo Keeper enabled. Do you want to open it?
Zoo Keeper,Yes,Welcome to Zookeeper. Say the name of an animal or ask for help
Zoo Keeper,"""Alexa, ask Zoo Keeper, what's new?""","Here are the 4 most recently added animals: giraffe, sheep, bear, eagle. Say the name of one."
Zoo Keeper,quit,
1-2-3 Math,"""Alexa, Open one two three""","Welcome Back! Please select a difficulty-level, Easy, Medium or, Hard ?"
1-2-3 Math,quit,
1-2-3 Math,"""Alexa, open Math Facts.""","Hmm, I'm not sure."
1-2-3 Math,quit,
1-2-3 Math,"""Alexa, play Kids Quiz""",<Short audio>
1-2-3 Math,quit,
The Bible,"""Alexa, open The Bible.""",You have YouVersion Bible enabled. Do you want to open it?
The Bible,Yes,Welcome to YouVersion Bible. What can I read for you?
The Bible,"""Alexa, open The Bible.""","Hmm‰Û_ I'm not sure what you want me to do. I can read a book, chapter, or verse from the Bible. Read your plan. Or the Verse of the Day. What would you like me to read?"
The Bible,quit,
The Bible,"""Alexa, tell The Bible to give me inspiration.""","Hmm, I don't know that."
The Bible,quit,
The Bible,"""Alexa, ask The Bible to read Luke chapter 2.""",You have The Scriptures enabled. Do you want to open it?
The Bible,Yes,"Welcome to the Scriptures skill. I can read inspirational scriptures to you. You can say things like, read a scripture, give me inspiration, read Luke chapter 2, or how many chapters are in Genesis? What would you like me to do?"
The Bible,"""Alexa, ask The Bible to read Luke chapter 2.""",Please try your request again with a valid chapter in your reference.
The Bible,quit,
Cat Facts,"""Alexa, open Cat Facts.""",You have Cat Facts enabled. Do you want to open it?
Cat Facts,Yes,Here's your Cat Fact! A steady diet of dog food may cause blindness in your cat. It lacks the amino acid taurine.
Cat Facts,"""Alexa, open Cat Facts.""",You have Cat Facts enabled. Do you want to open it?
Cat Facts,quit,
