name,question,response
Word of the Day Flash Briefing,"Alexa, open Word of the Day Flash Briefing","Word of the Day Flash Briefing is in your Flash Briefing; to hear it, just say, What’s my Flash Briefing. To manage it, go to your Alexa App, tap on settings, then select Flash Briefing."
Word of the Day Flash Briefing,help,"For Help, please visit the help pages on the Amazon web site."
Word of the Day Flash Briefing,stop,
Word of the Day Flash Briefing,quit,
Translated,"Alexa, open Translated",Welcome to Translated skill. What do you want to translate?
Translated,help,"With the Translated skill you can translate sentences from English into 36 languages and listen to the correct pronunciation.Say the phrase you want to translate and the language you would like to translate it into. For example, say ""Translate How are you in Japanese"" and I'll translate it for you! What’s more, you can ask the Translated skill to pronounce the translation more slowly or to repeat it. Brought to you by Translated.net, quick and easy professional translation services. What would you like to translate?"
Translated,stop,Hear you soon! Bye now!
Translated,quit,
Zoo Keeper,"Alexa, open Zoo Keeper",Welcome to Zookeeper. Say the name of an animal or ask for help
Zoo Keeper,help,"I currently know 39 animals. Here are some examples: raccoon, elk, goose, jaguar. Say the name of one."
Zoo Keeper,stop,Thanks for talking to Zookeeper
Zoo Keeper,quit,
1-2-3 Math,"Alexa, open 1-2-3 Math","Welcome Back! Please select a difficulty-level, Easy, Medium or, Hard ?"
1-2-3 Math,help,Please select a help topic
1-2-3 Math,stop,Thank you for playing 123 Math. Please give us a five star rating if you like our skill.
1-2-3 Math,quit,
The Bible,"Alexa, open The Bible",Welcome to YouVersion Bible. What can I read for you?
The Bible,help,"YouVersion Bible is completely free, and lets you listen to any book, chapter, or verse. You can also listen to daily readings from YouVersion reading plans. Other features include being able to change versions, and ask for the verse of the day. What would you like me to read?"
The Bible,stop,
The Bible,quit,
Cat Facts,"Alexa, open Cat Facts",Here's your Cat Fact! A healthy cat has a temperature between 38 and 39 degrees Celsius.
Cat Facts,help,"For Help, please visit the help pages on the Amazon web site."
Cat Facts,stop,
Cat Facts,quit,
Math Facts - Math Practice for Kids,"Alexa, open Math Facts - Math Practice for Kids",What kind of problem would you like to practice?
Math Facts - Math Practice for Kids,help,"Each time you open Math Facts, I'll ask you a few problems. Try asking for some addition problems."
