name,question,response
Save The Food,"""Alexa, ask Save The Food how to store asparagus""",<Audio only response>
Save The Food,quit,
Save The Food,"""Alexa, ask Save The Food if my avocados are still good""","Ok, Here's Save The Food"
Save The Food,quit,
Save The Food,quit,
Save The Food,"""Alexa, ask Save The Food if bruised apples are okay to eat.""","ok, the skill save the food can help you with that, let's try it"
Save The Food,quit,
Save The Food,quit,
OurGroceries,"""Alexa, ask OurGroceries to add milk to shopping list.""",I couldn't find a list called list. shopping. Should I create one?
OurGroceries,quit,
OurGroceries,"""Alexa, tell OurGroceries to remove olive oil from Walmart.""",<Audio only response>
OurGroceries,quit,
OurGroceries,quit,
OurGroceries,"""Alexa, ask OurGroceries what are my lists.""",You have OurGroceries enabled. Do you want to open it?
OurGroceries,Yes,"Welcome to Our Groceries, you can say, add milk to Shopping List."
OurGroceries,"""Alexa, ask OurGroceries what are my lists.""","You have 3 items on Shopping List: bread, eggs, and 2 milk"
OurGroceries,quit,
OurGroceries,quit,
Meal Idea,"""Alexa, open meal idea""","Here's your meal idea, you can also view this idea on the Home screen of your Alexa app: Place any kind of tortilla chips in a glass baking dish, top with any type of shredded cheese, and add canned olives, beans, chopped tomatoes, or peppers. Bake at 375 for 15 minutes or until the cheese has melted."
Meal Idea,quit,
Meal Idea,"""Alexa, ask meal idea to give me a meal idea""","Hmm, I have a few skills that can help."
Meal Idea,quit,
Meal Idea,quit,
Meal Idea,"""Alexa, ask meal idea to tell me something""",You have Meal Idea enabled. Do you want to open it?
Meal Idea,Yes,"Here's your meal idea, you can also view this idea on the Home screen of your Alexa app: Place any kind of tortilla chips in a glass baking dish, top with any type of shredded cheese, and add canned olives, beans, chopped tomatoes, or peppers. Bake at 375 for 15 minutes or until the cheese has melted."
Meal Idea,"""Alexa, ask meal idea to tell me something""",You have Meal Idea enabled. Do you want to open it?
Meal Idea,quit,
Meal Idea,quit,
Allrecipes,"""Alexa, open Allrecipes.""",<Audio only response>
Allrecipes,quit,
Allrecipes,"""Alexa, ask Allrecipes for a grilled salmon recipe.""","Ok, for grilled salmon recipe. , here's a few recipes from allrecipes"
Allrecipes,quit,
Allrecipes,quit,
Allrecipes,"""Alexa, ask Allrecipes for a recipe with chicken, bacon and broccoli.""","Ok, Here's Recipe Buddy"
Allrecipes,quit,
Allrecipes,quit,
The Bartender,"""Alexa, open the bartender""","Hi; welcome to the bartender. Just ask for a drink, give me an ingredient, or try ""surprise me."""
The Bartender,quit,
The Bartender,"""Alexa, ask the bartender to pick a drink""",<Audio only response>
The Bartender,quit,
The Bartender,quit,
The Bartender,"""Alexa, tell the bartender to surprise me""",You have The Bartender enabled. The Bartender contains mature content and may not be suitable for all ages. Do you want to open it?
The Bartender,Yes,"Hi; the bartender here. You can get a drink by name, or ingredient, or try ""surprise me."""
The Bartender,"""Alexa, tell the bartender to surprise me""",I found a drink named Miss Me Not. Would you like to make it?
The Bartender,quit,
The Bartender,quit,
My Chef - Kitchen Assistant by Chefling,"""Alexa, ask My Chef what's expiring""","Ok, Here's My Chef - Kitchen Assistant by Chefling"
My Chef - Kitchen Assistant by Chefling,quit,
My Chef - Kitchen Assistant by Chefling,"""Alexa, ask My Chef what can I cook for dinner""","Ok, for dinner , here's a few recipes"
My Chef - Kitchen Assistant by Chefling,quit,
My Chef - Kitchen Assistant by Chefling,quit,
My Chef - Kitchen Assistant by Chefling,"""Alexa, ask My Chef to add milk to my shopping list""",milk added to your Shopping list.
My Chef - Kitchen Assistant by Chefling,quit,
My Chef - Kitchen Assistant by Chefling,quit,
Instant Pot,"""Alexa, open Instant Pot""","Sorry, I don't know that one."
Instant Pot,quit,
Instant Pot,"""Alexa, ask Instant Pot for a dinner recipe with chicken and potatoes""","Ok, for dinner with chicken, potatoes recipes, here's a few recipes"
Instant Pot,quit,
Instant Pot,quit,
Instant Pot,"""Alexa, ask Instant Pot for an easy Italian recipe""","Ok, for italian using an instant pot, here's a few recipes"
Instant Pot,quit,
Instant Pot,quit,
Food Network,"""Alexa, ask Food Network what's for dinner?""",You have Food Network enabled. Do you want to open it?
Food Network,Yes,<Short audio>
Food Network,"""Alexa, ask Food Network what's for dinner?""",I can help you with some 30 minute meals or I can help you find a recipe.
Food Network,quit,
Food Network,"""Alexa, ask Food Network to spin the Flavor Wheel.""",You have Food Network enabled. Do you want to open it?
Food Network,Yes,<Short audio>
Food Network,"""Alexa, ask Food Network to spin the Flavor Wheel.""",Need some inspiration? Spin my magic wheel to learn about a new flavor! Just say 'spin the wheel' to begin.
Food Network,quit,
Food Network,quit,
Food Network,"""Alexa, ask Food Network for the Daily Bite.""",You have Food Network enabled. Do you want to open it?
Food Network,Yes,<Short audio>
Food Network,"""Alexa, ask Food Network for the Daily Bite.""","Here is today's Daily Bite: Mexican Lasagna Suiza. You can ask for ingredients or directions, email this recipe, or ask for something else."
Food Network,quit,
Food Network,quit,
Ask Peapod,"""Alexa, ask Peapod to reorder my Peapod cart""",You have Ask Peapod enabled. Do you want to open it?
Ask Peapod,Yes,Which skill do you want to enable?
Ask Peapod,"""Alexa, ask Peapod to reorder my Peapod cart""","I can’t find that skill. To find skills, go to the Skills section of the Alexa App."
Ask Peapod,quit,
Ask Peapod,"""Alexa, ask Peapod to add avocados to my order""",Sorry. I can't do that yet.
Ask Peapod,quit,
Ask Peapod,quit,
Ask Peapod,"""Alexa, ask Peapod when is my delivery coming""",You have Ask Peapod enabled. Do you want to open it?
Ask Peapod,Yes,Please login to your Peapod account using the Amazon Alexa app.
Ask Peapod,"""Alexa, ask Peapod when is my delivery coming""",You have Ask Peapod enabled. Do you want to open it?
Ask Peapod,quit,
Ask Peapod,quit,
Behmor Brewer,"""Alexa, ask Behmor to brew my coffee.""","Hmm. Maybe the skill, Behmor Brewer, can help. Do you want to try it?"
Behmor Brewer,quit,
Behmor Brewer,"""Alexa, ask Behmor for brewer status.""","Hmm. Maybe the skill, Behmor Brewer, can help. Do you want to try it?"
Behmor Brewer,quit,
Behmor Brewer,quit,
Behmor Brewer,"""Alexa, ask Behmor to run quick start.""","Hmm. Maybe the skill, Behmor Brewer, can help. Do you want to try it?"
Behmor Brewer,quit,
Behmor Brewer,quit,
Meat Thermometer,"""Alexa, ask meat thermometer what is the best temperature for pork butt""","Ok, Here's Meat Thermometer"
Meat Thermometer,quit,
Meat Thermometer,"""Alexa, launch meat thermometer""","Howdy partner, and Welcome to Meat Thermometer."
Meat Thermometer,quit,
Meat Thermometer,quit,
Meat Thermometer,"""Alexa, ask meat thermometer what is the best temperature for pork butt""","This might answer your question: It's recommended to roast raw boston butt pork in the oven at 350 degrees Fahrenheit for 20 minutes per pound, until it reaches an internal temperature of at least 145 degrees Fahrenheit. Start with meat at refrigerated temperature. Remove the meat from the oven when it reaches 5° to 10°F below the desired doneness; the temperature will continue to rise as the meat stands. Start with meat at refrigerated temperature. Remove the meat from the oven when it reaches 5° to 10°F below the desired doneness; the temperature will continue to rise as the meat stands."
Meat Thermometer,"""tell me the temperature for veal""","Right now, in Veal Georgia, it's 58 degrees. Tonight, expect a low of 51 degrees."
Meat Thermometer,quit,
Cookie Monster,"""Alexa, launch cookie monster.""","Welcome to the Cookie Monster. You can ask a question like, what's the recipe for chocolate chip cookies? ... Now, what can I help you with?"
Cookie Monster,quit,
Cookie Monster,"""Alexa, launch cookie monster.""","Welcome to the Cookie Monster. You can ask a question like, what's the recipe for chocolate chip cookies? ... Now, what can I help you with?"
Cookie Monster,"""Find a recipe for sugar cookies.""","I'm sorry, I currently do not know the recipe for sugar cookies.. What else can I help with?"
Cookie Monster,quit,
Cookie Monster,"""Alexa, launch cookie monster.""","Welcome to the Cookie Monster. You can ask a question like, what's the recipe for chocolate chip cookies? ... Now, what can I help you with?"
Cookie Monster,"""How can I bake chocolate chip cookies?""","Chocolate chip, my favorite! Mix 3/4 cup granulated sugar, 3/4 cup packed brown sugar, 1 cup butter, 1 teaspoon vanilla, 1 egg , 2 1/4 cups flour, 1 teaspoon baking soda, 1/2 teaspoon salt, 1 cup coarsely chopped nuts,and 2 cups of chocolate chips. Bake at 375 degrees for 8-10 minutes."
Cookie Monster,quit,
Good Housekeeping,"""Alexa, open Good Housekeeping.""",<Audio only response>
Good Housekeeping,quit,
Good Housekeeping,"""Alexa, ask Good Housekeeping to continue.""",You have Good Housekeeping enabled. Do you want to open it?
Good Housekeeping,Yes,<Short audio>
Good Housekeeping,"""Alexa, ask Good Housekeeping to continue.""",You have Good Housekeeping enabled. Do you want to open it?
Good Housekeeping,quit,
Good Housekeeping,quit,
Good Housekeeping,"""Alexa, ask Good Housekeeping what I should make for dinner tonight.""","Ok, for dinner , here's a few recipes"
Good Housekeeping,quit,
Good Housekeeping,quit,
FridgeStorageTimesHelper,"""Alexa ask fridge storage times how long can I keep a steak""",
FridgeStorageTimesHelper,quit,"Ok, Here's Good Housekeeping"
FridgeStorageTimesHelper,"""Alexa ask fridge storage times how long can I store chicken""",You have wikiHow enabled. Do you want to open it?
FridgeStorageTimesHelper,Yes,Hi! Ask me how to do anything.
FridgeStorageTimesHelper,"""Alexa ask fridge storage times how long can I store chicken""","How to Puree Chicken for a Baby. 9 steps. Step 1. Purchase the necessary ingredients. You’ll need chicken (breasts or thighs work well) and fruits or vegetables of your choice. Make sure you also have a saucepan and blender or food processor on hand. Try to find the freshest chicken available. You may be able to find fresher (and often cheaper) chicken from local butchers and vendors, rather than using supermarket chains. Do some research online to find the best sources in your area. Wherever you buy your chicken, make sure it has a U.S.D.A grade A rating on the package, and check the sell-by date as well. Say 'NEXT', to get the next step"
FridgeStorageTimesHelper,quit,
FridgeStorageTimesHelper,quit,
FridgeStorageTimesHelper,"""Alexa ask fridge storage times how long can I freeze tomatoes""",You have wikiHow enabled. Do you want to open it?
FridgeStorageTimesHelper,Yes,Hi! Ask me how to do anything.
FridgeStorageTimesHelper,"""Alexa ask fridge storage times how long can I freeze tomatoes""","How to Freeze Tomatoes. To freeze tomatoes without blanching, start by rinsing whole tomatoes and removing any stems. Then, set the tomatoes on a cookie sheet and place it in the freezer until they are frozen. Once they are frozen, take the tomatoes out and place them in a sealable plastic bag. Push all of the air out of the bag before sealing, and place it back in the freezer. To use your frozen tomatoes, run them under warm water until they thaw out. Say “READ STEPS”, if you want me to read each step in detail."
FridgeStorageTimesHelper,quit,
FridgeStorageTimesHelper,quit,
Ingredient Sub,"""Alexa, open Ingredient Sub.""",You have Ingredient Sub enabled. Do you want to open it?
Ingredient Sub,Yes,"Welcome to Ingredient Sub. You can ask a question like, what can I substitute for brown sugar? ... Now, what can I help you with."
Ingredient Sub,"""Alexa, open Ingredient Sub.""","I'm sorry, I currently do not know a substitution for that. What else can I help with?"
Ingredient Sub,quit,
Ingredient Sub,"""Alexa, ask Ingredient Sub what can I substitute for chicken broth.""",<Audio only response>
Ingredient Sub,quit,
Ingredient Sub,quit,
Ingredient Sub,"""Alexa, ask Ingredient Sub what can I use instead of brown sugar.""","Ok, Here's Chef"
Ingredient Sub,quit,
Ingredient Sub,quit,
America's Test Kitchen Daily Cooking Q&A,"""Alexa, what's my Flash Briefing?""",Here's your news.
America's Test Kitchen Daily Cooking Q&A,quit,
America's Test Kitchen Daily Cooking Q&A,"""Alexa, what's in the news?""",Here's your news.
America's Test Kitchen Daily Cooking Q&A,quit,
America's Test Kitchen Daily Cooking Q&A,quit,
America's Test Kitchen Daily Cooking Q&A,"""Alexa, what's my Flash Briefing?""",Here's your news.
America's Test Kitchen Daily Cooking Q&A,quit,
America's Test Kitchen Daily Cooking Q&A,quit,
Campbell's Kitchen,"""Alexa, open Campbell's Kitchen""","Sorry, the Campbell's Kitchen skill is no longer available. You can find more skills in the Alexa app."
Campbell's Kitchen,quit,
Campbell's Kitchen,"""Alexa, ask Campbell's Kitchen what's for dinner""","Sorry, the Campbell's Kitchen skill is no longer available. You can find more skills in the Alexa app."
Campbell's Kitchen,quit,
Campbell's Kitchen,quit,
Campbell's Kitchen,"""Alexa, ask Campbell's Kitchen for easy chicken dinners""","Ok, for chicken that takes less than 30 minutes, here's a few recipes"
Campbell's Kitchen,quit,
Campbell's Kitchen,quit,
Best Recipes,"""Alexa, open best recipes.""",You have Quaker enabled. Do you want to open it?
Best Recipes,Yes,"Hi, and welcome back to Quaker. What can I do for you today?"
Best Recipes,"""Alexa, open best recipes.""",You can ask me for some recipes that contain the ingredients you want to use or the meal you are cooking for. I can also teach you the basics to making different kinds of oats. What would you like to do?
Best Recipes,quit,
Best Recipes,"""Alexa, tell Best Recipes I am hungry.""",Sure. I can search by dish name and ingredients. What would you like?
Best Recipes,quit,
Best Recipes,quit,
Best Recipes,"""Alexa, ask Best Recipes what's for dinner.""","Ok, here's a few recipes"
Best Recipes,quit,
Best Recipes,quit,
Sous Vide Temperature Guide,"""Alexa open sous vide""",What are you cooking?
Sous Vide Temperature Guide,quit,
Sous Vide Temperature Guide,"""Alexa ask sous vide what temperature to cook salmon medium rare""",To cook fish or seafood sous vide medium rare place it in a sealed bag and submerge it in a water bath at 52ºC or 126ºF. Bon appetit!
Sous Vide Temperature Guide,quit,
Sous Vide Temperature Guide,quit,
Sous Vide Temperature Guide,"""Alexa, ask jewel to set the temperature to 140 degrees Fahrenh... ""","Sorry, what device?^"
Sous Vide Temperature Guide,quit,"I didn't find any Smart Home devices under Yichen's account. To get started, go to the Smart Home section of the Alexa App."
Sous Vide Temperature Guide,quit,"I didn't find any Smart Home devices under Yichen's account. To get started, go to the Smart Home section of the Alexa App."
MEATER,"""Alexa, ask MEATER to check on my cooks.""",You have Joule: Sous Vide by ChefSteps enabled. Do you want to open it?
MEATER,Yes,"Welcome to Joule! This requires the skill to be linked with a ChefSteps account. Open the Alexa App on your mobile device, find the Joule skill, and make sure it is linked to your ChefSteps account."
MEATER,"""Alexa, ask MEATER to check on my cooks.""",You have Joule: Sous Vide by ChefSteps enabled. Do you want to open it?
MEATER,quit,
MEATER,"""Alexa, ask MEATER to check on my cooks.""",You have Joule: Sous Vide by ChefSteps enabled. Do you want to open it?
MEATER,Yes,<Audio only response>
MEATER,quit,
MEATER,"""Alexa, ask MEATER to check on my cooks.""",You have Joule: Sous Vide by ChefSteps enabled. Do you want to open it?
MEATER,Yes,"This requires the skill to be linked with a ChefSteps account. Open the Alexa App on your mobile device, find the Joule skill, and make sure it is linked to your ChefSteps account."
MEATER,quit,
Kitchen Scale,"""Alexa ask Kitchen Scale how much does one cup of honey weigh""",There are 0.71 pounds in 1 cup of honey.
Kitchen Scale,quit,
Kitchen Scale,"""Alexa ask Kitchen Scale how much does two cups of peanut butter weigh""",This might answer your question: Peanut Butter weighs 4.214 ounces.
Kitchen Scale,quit,
Kitchen Scale,quit,
Kitchen Scale,"""Alexa ask Kitchen Scale about bananas""","Sorry, I don't know that."
Kitchen Scale,quit,
Kitchen Scale,quit,
Meal Planner,"""Alexa, ask Meal Planner to add pizza for lunch tomorrow""",You have Meal Planner enabled. Do you want to open it?
Meal Planner,Yes,Welcome to Meal Planner. Plan meal by saying add pizza for dinner or ask what's for dinner today
Meal Planner,"""Alexa, ask Meal Planner to add pizza for lunch tomorrow""",You have Meal Planner enabled. Do you want to open it?
Meal Planner,quit,
Meal Planner,"""Alexa, ask Meal Planner what is for dinner ?""","Ok, for dinner , here's a few recipes"
Meal Planner,quit,
Meal Planner,quit,
Meal Planner,"""Alexa, ask Meal planner to add pancake for breakfast monday""",You have Meal Planner enabled. Do you want to open it?
Meal Planner,Yes,Welcome to Meal Planner. Plan meal by saying add pizza for dinner or ask what's for dinner today
Meal Planner,"""Alexa, ask Meal planner to add pancake for breakfast monday""","Stored alexa, ask meal planner pancake for breakfast Monday"
Meal Planner,quit,
Meal Planner,quit,
Flame Boss,"""Alexa, ask Flame Boss how's my cook""",You have Cook Reference enabled. Do you want to open it?
