name,question,response
Save The Food,"Alexa, open Save The Food","Welcome to Save The Food. Together, we can make your food last longer and fight food waste. Huzzah To learn what you can ask me, say Help."
Save The Food,help,"To fight food waste, you can ask me questions about almost any food. For example: Alexa, ask Save The Food how to store bananas. Alexa, ask Save The Food if my apples are still good. Alexa, ask Save is wilted celery still good If you want to stop at any time say Stop."
Save The Food,stop,Goodbye
Save The Food,quit,
OurGroceries,"Alexa, open OurGroceries","Welcome to Our Groceries, you can say, add milk to Shopping List."
OurGroceries,help,"You can say things like: add milk to Shopping List, and what are my lists."
OurGroceries,stop,Canceled
OurGroceries,quit,
Meal Idea,"Alexa, open Meal Idea","Here's your meal idea, you can also view this idea on the Home screen of your Alexa app: If you have parchment paper, vegetables and fish you can make easy baked fish. Slice a cup of the vegetables thinly and place on the parchment, lay the piece of fish on top of the vegetables, drizzle with a tablespoon of olive oil, a half-teaspoon of salt, a dash of pepper and a teaspoon of lemon juice if desired. Fold over the top of the parchment to form an envelope, roll the ends of the parchment tightly to seal the envelope. Bake at 385 for 15 minutes or until the fish is flaky."
Meal Idea,help,"For Help, please visit the help pages on the Amazon web site."
Meal Idea,stop,
Meal Idea,quit,
Allrecipes,"Alexa, open Allrecipes","Welcome to Allrecipes. You can search for a recipe in your favorites, get the recipe of the day, or search for a new recipe. What would you like to do?"
Allrecipes,help,"The Allrecipes skill can help you find a recipe to make. You can search your favorites, hear the recipe of the day, or search for new recipes. Try saying things like 'I need a slow-cooker chicken recipe,' or 'What are my favorite chicken recipes?' What would you like to do?"
Allrecipes,stop,Goodbye!
Allrecipes,quit,
The Bartender,"Alexa, open The Bartender","Hi; welcome to the bartender. Just ask for a drink, give me an ingredient, or try ""surprise me."""
The Bartender,help,"You can ask me how to make a drink by saying, ""How do I make a White Russian?"", or find one that uses certain ingredients, like ""something with bourbon""."
The Bartender,stop,OK; see you next time!
The Bartender,quit,
My Chef - Kitchen Assistant by Chefling,"Alexa, open My Chef - Kitchen Assistant by Chefling","Hi there. It seems you haven't downloaded our app. To get the best experience, please download the free Cheflilng app on your mobile phone. How can I help you today?"
My Chef - Kitchen Assistant by Chefling,help,"A full list of functions has been sent via an Alexa card. Chefling works best with the mobile app Chefling on your phone. Okay, what can I do for you?"
My Chef - Kitchen Assistant by Chefling,stop,Okay.
My Chef - Kitchen Assistant by Chefling,quit,
Instant Pot,"Alexa, open Instant Pot","Hmm, I don't know that one."
Instant Pot,help,"For Help, please visit the help pages on the Amazon web site."
Instant Pot,stop,
Instant Pot,quit,
Food Network,"Alexa, open Food Network",<Short audio>
Food Network,help,"The Food Network skill helps you find recipes from your favorite Food Network chefs. You can say things like 'Can I get the recipe that’s on TV right now?', or 'Find me barbecue chicken recipes by Bobby Flay.' How can I help you?"
Food Network,stop,"No problem. Before you go, Rachael has one more thing to say!"
Food Network,quit,
Ask Peapod,"Alexa, open Ask Peapod",
Ask Peapod,help,"For Help, please visit the help pages on the Amazon web site."
Ask Peapod,stop,
Ask Peapod,quit,
Behmor Brewer,"Alexa, open Behmor Brewer","Hmm, I'm not sure."
Behmor Brewer,help,"For Help, please visit the help pages on the Amazon web site."
Behmor Brewer,stop,
Behmor Brewer,quit,
Meat Thermometer,"Alexa, open Meat Thermometer","Howdy partner, and Welcome to Meat Thermometer."
