name,question,response
Song Quiz,"""Alexa, start Song Quiz""",Welcome back to Song Quiz. How many people are playing Song Quiz?
Song Quiz,quit,
Song Quiz,"""Alexa, open Song Quiz""",Welcome back to Song Quiz. How many people are playing Song Quiz?
Song Quiz,quit,
Song Quiz,quit,
Song Quiz,"""Alexa, play Song Quiz""",Welcome back to Song Quiz. How many people are playing Song Quiz?
Song Quiz,quit,
Song Quiz,quit,
Would You Rather for Family,"""Alexa, Play Would You Rather""",<Short audio>
Would You Rather for Family,quit,
Would You Rather for Family,"""Alexa, Start Would You Rather""",<Short audio>
Would You Rather for Family,quit,
Would You Rather for Family,quit,
Would You Rather for Family,"""Alexa, Open Would You Rather""",<Short audio>
Would You Rather for Family,quit,
Would You Rather for Family,quit,
Fortnite Dropper,"""Alexa, Open Fortnite Dropper""",I give you the power to win if you drop at Loot lake Would you like to get a random challenge?
Fortnite Dropper,quit,
Fortnite Dropper,"""Alexa, ask Fortnite Dropper where we dropping boys.""",
Fortnite Dropper,quit,
Fortnite Dropper,quit,
Fortnite Dropper,"""Alexa open fortnite news""",I give you the power to win if you drop at Tomato Temple Would you like to get a random challenge?
Fortnite Dropper,quit,
Fortnite Dropper,quit,
Escape the Room,"""Alexa open Escape the Room""",<Short audio>
Escape the Room,quit,
Escape the Room,"""Alexa open Escape the Room""",<Short audio>
Escape the Room,"""look right""","You are in the lobby. The available rooms are the office, the car, the jail cell, and the garage. Which room would you like to enter?"
Escape the Room,quit,
Escape the Room,"""Alexa open Escape the Room""",<Short audio>
Escape the Room,"""inspect door""","You are in the lobby. The available rooms are the office, the car, the jail cell, and the garage. Which room would you like to enter?"
Escape the Room,quit,
Deal Or No Deal,"""Alexa, open Deal or No Deal""",<Audio only response>
Deal Or No Deal,quit,
Deal Or No Deal,"""Alexa, open Deal or No Deal""",<Audio only response>
Deal Or No Deal,"""Open case two""","ok, 2 is your lucky case. In this round you will select 4 cases. Which case would you like to select first?"
Deal Or No Deal,quit,
Deal Or No Deal,"""Alexa, open Deal or No Deal""",Would you like to resume your last game?
Deal Or No Deal,"""Deal""","Sorry, I can't understand the command. Please say again."
Deal Or No Deal,quit,
Yes Sire,"""Alexa, play Yes Sire""",<Short audio>
Yes Sire,quit,
Yes Sire,"""Alexa, open Yes Sire""",<Short audio>
Yes Sire,quit,
Yes Sire,quit,
Yes Sire,"""Alexa, start Yes Sire""",<Short audio>
Yes Sire,quit,
Yes Sire,quit,
Twenty Questions,"""Alexa, play Twenty Questions.""",You have Twenty Questions enabled. Do you want to open it?
Twenty Questions,Yes,
Twenty Questions,"""Alexa, play Twenty Questions.""",You have Twenty Questions enabled. Do you want to open it?
Twenty Questions,quit,
Twenty Questions,"""Alexa, open Twenty Questions.""",You have Twenty Questions enabled. Do you want to open it?
Twenty Questions,Yes,
Twenty Questions,"""Alexa, open Twenty Questions.""",Hi. Welcome to the My Questions survey experience. I'm excited to try something new and fun with you. The first questions are about sports you may follow. Please respond with the words Yes or No only. Do you follow any of these sports. NFL football?
Twenty Questions,quit,
Twenty Questions,quit,
Twenty Questions,"""Alexa, Twenty Questions.""",You have Twenty Questions enabled. Do you want to open it?
Twenty Questions,Yes,
Twenty Questions,"""Alexa, Twenty Questions.""",You have Twenty Questions enabled. Do you want to open it?
Twenty Questions,quit,
Twenty Questions,quit,
My Pet Rock,"""Alexa, tell my Pet Rock to eat something""","Ok, Here's My Pet Rock"
My Pet Rock,quit,
My Pet Rock,"""Alexa, ask my Pet Rock to go play""","Ok, Here's My Pet Rock"
My Pet Rock,quit,
My Pet Rock,quit,
My Pet Rock,"""Alexa, tell my Pet Rock to do a trick""",You have My Pet Rock enabled. Do you want to open it?
My Pet Rock,Yes,"Welcome to My Pet Rock! You can take care of your pet rock by playing with it, and feeding it. It will grow over time and learn new tricks! You don't currently have a pet rock. To get started, say 'pick up a rock'. What would you like to do?"
My Pet Rock,"""Alexa, tell my Pet Rock to do a trick""",You don't have a rock yet. Let's get started! What is its name?
My Pet Rock,quit,
My Pet Rock,quit,
Fact or Fib,"""Alexa, Open Fact or Fib""",<Short audio>
Fact or Fib,quit,
Fact or Fib,"""Alexa, Start Fact or Fib""",<Audio only response>
Fact or Fib,quit,
Fact or Fib,quit,
Fact or Fib,"""Alexa, Launch Fact or Fib""",<Short audio>
Fact or Fib,quit,
Fact or Fib,quit,
Tricky Genie,"""Alexa, start tricky genie""",<Short audio>
Tricky Genie,quit,
Tricky Genie,"""Alexa, launch tricky genie""",<Short audio>
Tricky Genie,quit,
Tricky Genie,quit,
Tricky Genie,"""Alexa, ask tricky genie for a story""",You have Tricky Genie enabled. Do you want to open it?
Tricky Genie,Yes,<Audio only response>
Tricky Genie,"""Alexa, ask tricky genie for a story""",You have Tricky Genie enabled. Do you want to open it?
Tricky Genie,quit,
Tricky Genie,quit,
Price It Right,"""Alexa, start Price It Right""",
Price It Right,quit,
Price It Right,"""Alexa, open Price It Right""",
Price It Right,quit,
Price It Right,quit,
Price It Right,"""Alexa, launch Price It Right""",<Short audio>
Price It Right,quit,
Price It Right,quit,
Price It Right,"""Alexa, start Price It Right""",<Short audio>
Price It Right,quit,
Price It Right,quit,
Price It Right,"""Alexa, open Price It Right""",<Short audio>
Price It Right,quit,
Price It Right,quit,
Price It Right,"""Alexa, launch Price It Right""",<Short audio>
Price It Right,quit,
Price It Right,quit,
Truth or Dare,"""Alexa, ask Truth or Dare for a truth""","Welcome to Truth or Dare. Do you want a truth, or a dare?"
Truth or Dare,quit,
Truth or Dare,"""Alexa, ask Truth or Dare for a dare""","Ok, Here's Truth or Dare"
Truth or Dare,quit,
Truth or Dare,quit,
Truth or Dare,"""Alexa open Heads Up! and play Superstars""",Superstars. You will have 90 seconds to guess as many celebrities as possible. Timer begins now.He's the only Irish member of One Direction
Truth or Dare,quit,
Truth or Dare,quit,
The Vortex,"""Alexa, open the vortex""","Sorry, I don't know that."
The Vortex,quit,
The Vortex,"""Alexa, open the vortex""","Sorry, I don't know that one."
The Vortex,"""what have we found?""","Hmm, I'm not sure."
The Vortex,quit,
The Vortex,"""Alexa, open the vortex""","Hmm, I'm not sure."
The Vortex,"""give me a status report""",Here's your news.
The Vortex,quit,
Sesame Street,"""Alexa, open Sesame Street.""",You have Sesame Street enabled. Do you want to open it?
Sesame Street,Yes,"Hi. Welcome to Sesame Street. What would you like to do with Elmo today, call about letters, or play hide & seek?"
Sesame Street,"""Alexa, open Sesame Street.""","Sesame Workshop is the nonprofit educational organization behind Sesame Street, and so much more. Its mission is to help kids grow smarter, stronger, and kinder. What do you want to do next, call Elmo about a letter, or play hide and seek?"
Sesame Street,quit,
Sesame Street,"""Alexa, ask Sesame Street to call Elmo.""",<Audio only response>
Sesame Street,quit,
Sesame Street,quit,
Sesame Street,"""Alexa, ask Sesame Street to play hide and seek.""",<Audio only response>
Sesame Street,quit,
Sesame Street,quit,
Earplay,"""Alexa, start Earplay.""","Sorry, I'm not sure."
Earplay,quit,
Earplay,"""Alexa, start Earplay.""","Hmm, I'm not sure."
Earplay,"""Listen to previews.""",You have The Listeners enabled. Do you want to open it?
Earplay,quit,
Earplay,"""Alexa, start Earplay.""","Sorry, I don't know that one."
Earplay,"""Get the news.""","Sorry, I don't know that one."
Earplay,quit,
Destiny 2 Ghost,"""Alexa, ask ghost for my clan summary.""",You have Destiny 2 Ghost enabled. Do you want to open it?
Destiny 2 Ghost,Yes,"Please go to the Alexa app, tap ""link account"" in the Account Setup card, and login with your Destiny account. Then open the skill and try again."
Destiny 2 Ghost,"""Alexa, ask ghost for my clan summary.""",<Audio only response>
Destiny 2 Ghost,quit,
Destiny 2 Ghost,"""Alexa, ask ghost for my next milestone.""",
Destiny 2 Ghost,quit,
Destiny 2 Ghost,quit,
Destiny 2 Ghost,"""Alexa, ask ghost to equip my best weapon.""",
Destiny 2 Ghost,quit,
