name,question,response
Song Quiz,"Alexa, open Song Quiz",Welcome back to Song Quiz. How many people are playing Song Quiz?
Song Quiz,help,"Here are some of the things you can say: Repeat. Start over. If you're done, say: stop. . . . . How many people are playing Song Quiz?"
Song Quiz,stop,<Short audio>
Song Quiz,quit,
Song Quiz,"Alexa, open Song Quiz",Welcome back to Song Quiz. How many people are playing Song Quiz?
Song Quiz,help,"Here are some of the things you can say: Repeat. Start over. If you're done, say: stop. . . . . How many people are playing Song Quiz?"
Song Quiz,stop,<Short audio>
Song Quiz,quit,
Song Quiz,"Alexa, open Song Quiz",Welcome back to Song Quiz. How many people are playing Song Quiz?
Song Quiz,help,"Here are some of the things you can say: Repeat. Start over. If you're done, say: stop. . . . . How many people are playing Song Quiz?"
Song Quiz,stop,<Short audio>
Song Quiz,quit,
Would You Rather for Family,"Alexa, open Would You Rather for Family",<Short audio>
Would You Rather for Family,help,"Would You Rather asks this or that style questions. Tell me, what you would rather do in these situations to see if your answers are the popular choice or if less people agree with you. Say, ""repeat"" to hear this information again or ""letâ€™s start"" to play a new game. What would you like to do?."
Would You Rather for Family,stop,So soon. Hope to see you again!
Would You Rather for Family,quit,
Would You Rather for Family,"Alexa, open Would You Rather for Family",<Short audio>
Would You Rather for Family,help,"Would You Rather asks this or that style questions. Tell me, what you would rather do in these situations to see if your answers are the popular choice or if less people agree with you. Say, ""repeat"" to hear this information again or ""letâ€™s start"" to play a new game. What would you like to do?."
Would You Rather for Family,stop,So soon. Hope to see you again!
Would You Rather for Family,quit,
Would You Rather for Family,"Alexa, open Would You Rather for Family",<Short audio>
Would You Rather for Family,help,"Would You Rather asks this or that style questions. Tell me, what you would rather do in these situations to see if your answers are the popular choice or if less people agree with you. Say, ""repeat"" to hear this information again or ""letâ€™s start"" to play a new game. What would you like to do?."
Would You Rather for Family,stop,So soon. Hope to see you again!
Would You Rather for Family,quit,
Fortnite Dropper,"Alexa, open Fortnite Dropper",
