name,question,response
Relaxing Sounds: Spa Music,"Alexa, open Relaxing Sounds: Spa Music",I couldn't find any relaxing sounds spa songs.GenreNotFoundPromptMusic.PlayMusicIntenten_USdefault863f35ed-09a8-4571-9a04-5fb6b94b9a7a1Adm-20180212_202339-1
Relaxing Sounds: Spa Music,help,"For Help, please visit the help pages on the Amazon web site."
Relaxing Sounds: Spa Music,stop,
Relaxing Sounds: Spa Music,quit,
Fitbit,"Alexa, open Fitbit","Welcome to Fitbit. I can tell about your steps, exercise, sleep, and more. How can I help you?"
Fitbit,help,"The Fitbit skill can tell you how you're doing towards your activity goals, how many steps you've taken, and more. You can say things like 'how am I doing today', or 'how many steps, or 'how did I sleep last night.' What can I help you with?"
Fitbit,stop,Thanks for trying Fitbit for Alexa! Goodbye.
Fitbit,quit,
7-Minute Workout,"Alexa, open 7-Minute Workout",<Short audio>
7-Minute Workout,help,"This skill offers three different intensities to suite your physical needs and goals. If you have joint issues or are just starting out, I recommend going with low-impact. For the classic seven minute workout, choose standard. If you're ready to push yourself to the next level, select advanced. You can change your default workout type later by saying change settings, or start a single workout with a type by asking for it whenever you launch the skill. Which type of exercise would you like?"
7-Minute Workout,stop,Have a good night.
7-Minute Workout,quit,
Relaxing Sounds: Spanish Guitar,"Alexa, open Relaxing Sounds: Spanish Guitar",I couldn't find any relaxing sounds spanish guitar songs.GenreNotFoundPromptMusic.PlayMusicIntenten_USdefault863f35ed-09a8-4571-9a04-5fb6b94b9a7a1Adm-20180212_202339-1
Relaxing Sounds: Spanish Guitar,help,"For Help, please visit the help pages on the Amazon web site."
Relaxing Sounds: Spanish Guitar,stop,
Relaxing Sounds: Spanish Guitar,quit,
Ask My Buddy,"Alexa, open Ask My Buddy","Welcome to Ask My Buddy, Who would you like to alert ?"
Ask My Buddy,help,"To send an alert just say alert and a name from your contact list or, just say alert and I will guide you, You can also just say, send help, To alert everyone in your list. Would you like to send an alert?"
Ask My Buddy,stop,Goodbye
Ask My Buddy,quit,
Zen Sounds: Japanese Garden Sounds,"Alexa, open Zen Sounds: Japanese Garden Sounds",Want some new meditation music? just ask alexa to open healing sounds.
Zen Sounds: Japanese Garden Sounds,help,"For Help, please visit the help pages on the Amazon web site."
