name,question,response
Baby Groot,"""Alexa, ask Baby Groot what time is it""",The time is 7:37 PM.
Baby Groot,quit,
Baby Groot,"""Alexa, ask Baby Groot where he is""","Ok, Here's Baby Groot"
Baby Groot,quit,
Baby Groot,quit,
Baby Groot,"""Alexa, ask Baby Groot whats up""","Ok, Here's Baby Groot"
Baby Groot,quit,
Baby Groot,quit,
The Tonight Show,"""Alexa, open The Tonight Show""",<Short audio>
The Tonight Show,quit,
The Tonight Show,"""Alexa, ask The Tonight Show to play the Monologue""",You have The Tonight Show enabled. Do you want to open it?
The Tonight Show,Yes,<Short audio>
The Tonight Show,"""Alexa, ask The Tonight Show to play the Monologue""",You have The Tonight Show enabled. Do you want to open it?
The Tonight Show,quit,
The Tonight Show,quit,
The Tonight Show,"""Alexa, ask The Tonight Show to play Jimmy's Thank You Notes""",I couldn't find any enabled video skills that can play that. Go to the Alexa app to manage your video skills and devices.
The Tonight Show,quit,
The Tonight Show,quit,
The Tonight Show Monologue,"""Alexa, what's my Flash Briefing?""",Here's your news.
The Tonight Show Monologue,quit,
The Tonight Show Monologue,"""Alexa, what's in the news?""",Here's your news.
The Tonight Show Monologue,quit,
The Tonight Show Monologue,quit,
The Tonight Show Monologue,"""Alexa, what's my Flash Briefing?""",Here's your news.
The Tonight Show Monologue,quit,
The Tonight Show Monologue,quit,
Spider-Man,"""Alexa, open Spiderman""",You have Spider-Man enabled. Do you want to open it?
Spider-Man,Yes,<Short audio>
Spider-Man,"""Alexa, open Spiderman""","Sorry, I didn't catch that. You can choose from Spider-man: Into the Spider-verse, or Spider-man: Homecoming. Which will it be?"
Spider-Man,quit,
Spider-Man,"""Alexa, ask Spiderman to go behind the scenes""",You have Spider-Man enabled. Do you want to open it?
Spider-Man,Yes,<Short audio>
Spider-Man,"""Alexa, ask Spiderman to go behind the scenes""","Sorry, I didn't catch that. You can choose from Spider-man: Into the Spider-verse, or Spider-man: Homecoming. Which will it be?"
Spider-Man,quit,
Spider-Man,quit,
Spider-Man,"""Alexa, ask Spiderman for a quiz""",You have Spider-Man enabled. Do you want to open it?
Spider-Man,Yes,<Short audio>
Spider-Man,"""Alexa, ask Spiderman for a quiz""","Sorry, I didn't catch that. You can choose from Spider-man: Into the Spider-verse, or Spider-man: Homecoming. Which will it be?"
Spider-Man,quit,
Spider-Man,quit,
Fandango,"""Alexa, Open Fandango""","Welcome to Fandango, I can help you find showtimes to a movie. What can I help you with?"
Fandango,quit,
Fandango,"""Alexa, Ask Fandango what's playing at a nearby theater""",Here are a few movies playing near you today :
Fandango,quit,
Fandango,quit,
Fandango,"""Alexa, Ask Fandango to search for I can only Imagine""",You have Fandango enabled. Do you want to open it?
Fandango,Yes,"Welcome to Fandango, I can help you find showtimes to a movie. What can I help you with?"
Fandango,"""Alexa, Ask Fandango to search for I can only Imagine""",You have Fandango enabled. Do you want to open it?
Fandango,quit,
Fandango,quit,
Match Game,"""Alexa, open Match Game""","Sorry, I don't know that one."
Match Game,quit,
Match Game,"""Alexa, launch Match Game""","Hmm, I don't know that."
Match Game,quit,
Match Game,quit,
Match Game,"""Alexa, ask Match Game who is the host of the gameshow""","Sorry, I'm not sure."
Match Game,quit,
Match Game,quit,
Atom Tickets,"""Alexa, launch Atom.""",<Audio only response>
Atom Tickets,quit,
Atom Tickets,"""Alexa, ask Atom to buy movie tickets for today.""",You have Fandango enabled. Do you want to open it?
Atom Tickets,Yes,<Audio only response>
Atom Tickets,"""Alexa, ask Atom to buy movie tickets for today.""",You have Fandango enabled. Do you want to open it?
Atom Tickets,quit,
Atom Tickets,quit,
Atom Tickets,"""Alexa, ask Atom what's playing right now.""","Hmm. Maybe the skill, Atom Tickets, can help. Do you want to try it?"
Atom Tickets,quit,
Atom Tickets,quit,
Screen Test | Movie Quote Quiz,"""Alexa, Open Screen Test""","Welcome to the Cinema Playground Screen Test. I will play 5 movie quotes. Just say the answer. If you need to hear the quote again, just say repeat. Good Luck. Quote 1."
Screen Test | Movie Quote Quiz,quit,
Screen Test | Movie Quote Quiz,"""Alexa, Open Screen Test""","Welcome to the Cinema Playground Screen Test. I will play 5 movie quotes. Just say the answer. If you need to hear the quote again, just say repeat. Good Luck. Quote 1."
Screen Test | Movie Quote Quiz,"""Give me a clue""","Okay, here's a clue. Four teenage boys enter a pact to lose their virginity by prom night. To hear the quote again, just say repeat. If you know the movie you can just say it. Otherwise say skip."
Screen Test | Movie Quote Quiz,quit,
Screen Test | Movie Quote Quiz,"""Alexa, Open Screen Test""","Welcome to the Cinema Playground Screen Test. I will play 5 movie quotes. Just say the answer. If you need to hear the quote again, just say repeat. Good Luck. Quote 1."
Screen Test | Movie Quote Quiz,"""I need more time""","Okay, here's 10 more seconds to think about it."
Screen Test | Movie Quote Quiz,quit,
The Office Quote Game,"""Alexa, ask Office Quotes for a quote""",You have Schrute Quotes enabled. Do you want to open it?
The Office Quote Game,Yes,Here's your Dwight Schrute quote:I am fast. To give you a reference point I am somewhere between a snake and a mongoose...And a panther.Would you like another quote?
The Office Quote Game,"""Alexa, ask Office Quotes for a quote""","Here's your Dwight Schrute quote:Before I do anything I ask myself, Would an idiot do that? and if the answer is yes, I do not do that thing.Would you like another quote?"
The Office Quote Game,quit,
The Office Quote Game,"""Alexa, ask Office Quotes to tell me a quote""",Here's a quote by Michelle Obama
The Office Quote Game,quit,
The Office Quote Game,quit,
The Office Quote Game,"""Alexa, ask Office Quotes to give me a quote""",Here's a quote from Jennifer Lawrence
The Office Quote Game,quit,
The Office Quote Game,quit,
Burger of the Day,"""Alexa, ask Bob's Chalkboard what the burger of the day is""","Ok, Here's Burger of the Day"
Burger of the Day,quit,
Burger of the Day,"""Alexa, ask Bob's Chalkboard about today's burger of the day""","Ok, Here's Burger of the Day"
Burger of the Day,quit,
Burger of the Day,quit,
Burger of the Day,"""Alexa, ask Bob's Chalkboard about today's burger""","Ok, Here's Burger of the Day"
Burger of the Day,quit,
Burger of the Day,quit,
YourDirect TV,"""Alexa, Open Direct channel guide""",You have YourDirect TV enabled. Do you want to open it?
YourDirect TV,Yes,"Hello, welcome to your direct tv guide. Having trouble remembering the channel numbers ?. Dont worry, I have got you covered. Tell me what are you looking for ?"
YourDirect TV,"""Alexa, Open Direct channel guide""","Sorry, I did not get you, can you please repeat the channel name"
YourDirect TV,quit,
YourDirect TV,"""Alexa, Open Direct channel guide""",You have YourDirect TV enabled. Do you want to open it?
YourDirect TV,Yes,"Which channel number or channel category you want to know about ?. If you need any help, say help."
YourDirect TV,quit,
YourDirect TV,"""Alexa, Open Direct channel guide""",You have YourDirect TV enabled. Do you want to open it?
YourDirect TV,Yes,"Which channel number or channel category you want to know about ?. If you need any help, say help."
YourDirect TV,quit,
Deadpool,"""Alexa, open deadpool""","Sorry, I’m not sure about that."
Deadpool,quit,
Deadpool,"""Alexa, open deadpool""","Hmm, I'm not sure."
Deadpool,"""give me a random deadpool quote""","Here is a quote from the film Deadpool. 'You're right. Cancer is only in my liver, lungs, prostate, and brain. All the things I can live without.'"
Deadpool,quit,
Deadpool,"""Alexa, open deadpool""","Hmm, I don't know that."
Deadpool,"""what is a deadpool quote""","Here is a quote from the film Deadpool. 'I'd go with you, but... I don't want to.'"
Deadpool,quit,
Seinfeld Fan Trivia,"""Alexa, open Seinfeld Trivia""","Seinfeld Trivia. I will ask you 5 questions, try to get as many right as you can. Just say the number of the answer. Let's begin.Question 1. What does Joe DiMaggio dunk in his coffee? 1. Donut. 2. Toast. 3. Bagel. 4. Muffin."
Seinfeld Fan Trivia,quit,
Seinfeld Fan Trivia,"""Alexa, play Seinfeld Trivia""","Seinfeld Trivia. I will ask you 5 questions, try to get as many right as you can. Just say the number of the answer. Let's begin.Question 1. What food item did George eat that was in the trash? 1. Chip. 2. Eclaire. 3. Cookie. 4. Cake."
Seinfeld Fan Trivia,quit,
Seinfeld Fan Trivia,quit,
Seinfeld Fan Trivia,"""Alexa, start Seinfeld Trivia""","Seinfeld Trivia. I will ask you 5 questions, try to get as many right as you can. Just say the number of the answer. Let's begin.Question 1. What material is George’s big, puffy jacket made out of? 1. Wool. 2. Leather. 3. Gortex. 4. Cotten."
Seinfeld Fan Trivia,quit,
Seinfeld Fan Trivia,quit,
Michael Scott Quote Generator,"""Alexa, ask Michael Scott Quotes for a quote.""","Here is a quote from Michael Scott. ""I'm very sorry, I did not know you were wearing a hearing aid. I thought you were just speaking abnormally."""
Michael Scott Quote Generator,quit,
Michael Scott Quote Generator,"""Alexa, ask Michael Scott Quotes to rate some quotes.""","Here is a quote from Michael Scott. ""I'm very sorry, I did not know you were wearing a hearing aid. I thought you were just speaking abnormally."""
Michael Scott Quote Generator,quit,
Michael Scott Quote Generator,quit,
Michael Scott Quote Generator,"""Alexa, ask Michael Scott Quotes for ID 100.""","Here is a quote from Michael Scott. ""I'm very sorry, I did not know you were wearing a hearing aid. I thought you were just speaking abnormally."""
Michael Scott Quote Generator,quit,
Michael Scott Quote Generator,quit,
Movie Trivia,"""Alexa, ask movie trivia to give me some movie trivia""",Here's your fact: Author Peter Benchley plays the role of a TV reporter in Jaws. Benchley was reportedly thrown off set after continually arguing with Spielberg about the film's ending.
Movie Trivia,quit,
Movie Trivia,"""Alexa, start movie trivia""","Here's your fact: Stanley Kubrick would reportedly call Stephen King at 3am to ask him questions about The Shining. According to King, one famous exchange had the director ask the author, “Do you believe in God?”. When he replied in the affirmative Kubrick yelled “I knew it!” and slammed the phone down."
Movie Trivia,quit,
Movie Trivia,quit,
Movie Trivia,"""Alexa, ask movie trivia tell me a fact""",You have Movie Trivia enabled. Do you want to open it?
Movie Trivia,Yes,Here's your fact: The US title for the exceptionally wonderful A Matter of Life and Death was Stairway to Heaven. The UK had no stairway. Denied.
Movie Trivia,"""Alexa, ask movie trivia tell me a fact""",You have Movie Trivia enabled. Do you want to open it?
Movie Trivia,quit,
Movie Trivia,quit,
Groot,"""Alexa, ask baby groot when is the next Guardians of the Galaxy movie coming... ""","The next Guardians of the Galaxy movie, ""Guardians of the Galaxy Vol. 3,"" will be released on December 31, 2022. The most recent Guardians of the Galaxy movie was ""Guardians of the Galaxy Vol. 2,"" which was released on May 5, 2017."
Groot,quit,
Groot,"""Alexa, ask baby groot what is the next guardians adventure?""","Ok, Here's Groot"
Groot,quit,
Groot,quit,
Groot,"""Alexa, ask baby groot to tell me a fact""",You have Groot enabled. Do you want to open it?
Groot,Yes,I am Groot?
Groot,"""Alexa, ask baby groot to tell me a fact""",You have Groot enabled. Do you want to open it?
Groot,quit,
Groot,quit,
Golden Girls Trivia,"""Alexa, tell Golden Girls Trivia to start.""","This might answer your question: Here's a fact about The Golden Girls. The girls consumed over one hundred cheesecakes during the show's seven-year run. In reality, Bea Arthur hated cheesecake."
Golden Girls Trivia,quit,
Golden Girls Trivia,"""Alexa, ask Golden Girls Trivia for help.""",<Short audio>
Golden Girls Trivia,quit,
Golden Girls Trivia,quit,
Golden Girls Trivia,"""Alexa, ask golden girls fact to tell me a golden girls fact""","Here's a fact about The Golden Girls. Estelle Getty suffered from stage fright, every Friday night for 26 weeks during the show's taping."
Golden Girls Trivia,quit,
Golden Girls Trivia,quit,
SHOWTIME,"""Alexa, talk to Showtime""",You have SHOWTIME enabled. Do you want to open it?
SHOWTIME,Yes,"Welcome back to Showtime! Catch new episodes of Billions, Sundays at 9 PM Eastern and Pacific. You can ask me about series, movies, documentaries or sports. Which would you like?"
SHOWTIME,"""Alexa, talk to Showtime""","I can't help you to watch Showtime right now. If you're not a subscriber yet, go to S.H.O. DOT com slash order, to start your free trial. Would you like to hear what’s on Showtime?"
SHOWTIME,quit,
SHOWTIME,"""Alexa, ask Showtime what to watch""",You have SHOWTIME enabled. Do you want to open it?
SHOWTIME,Yes,"Welcome back to Showtime! Catch new episodes of Billions, Sundays at 9 PM Eastern and Pacific. You can ask me about series, movies, documentaries or sports. Which would you like?"
SHOWTIME,"""Alexa, ask Showtime what to watch""","Which would you like to hear about, series, movies, documentaries, or sports?"
SHOWTIME,quit,
SHOWTIME,quit,
SHOWTIME,"""Alexa, ask Showtime what's on tonight""",You have SHOWTIME enabled. Do you want to open it?
SHOWTIME,Yes,<Audio only response>
SHOWTIME,"""Alexa, ask Showtime what's on tonight""",You have SHOWTIME enabled. Do you want to open it?
SHOWTIME,quit,
SHOWTIME,quit,
