name,question,response
Baby Groot,"Alexa, open Baby Groot","Welcome to Baby Stats. Try saying, add wet. Say help if you need help, or go to www.babystats.org. What stat would you like to track?"
Baby Groot,help,"Try saying, add wet. You can then ask baby stats what time was the last wet. If you want more tips, say help. You can also navigate to www.babystats.org and click on help."
Baby Groot,stop,See you later!
Baby Groot,quit,
Baby Groot,"Alexa, open Baby Groot","Welcome to Baby Stats. Try saying, add pumping 3 ounces. Say help if you need help, or go to www.babystats.org. What stat would you like to track?"
Baby Groot,help,"Try saying, add feeding. If you want more tips, say help. You can also navigate to www.babystats.org and click on help."
Baby Groot,stop,Bye!
Baby Groot,quit,
Baby Groot,"Alexa, open Baby Groot","Welcome to Baby Stats. Try saying, add feeding left breast. Say help if you need help, or go to www.babystats.org. What stat would you like to track?"
Baby Groot,help,"Try saying, add feeding 3 ounces. If you want more tips, say help. You can also navigate to www.babystats.org and click on help."
Baby Groot,stop,Bye!
Baby Groot,quit,
The Tonight Show,"Alexa, open The Tonight Show",<Short audio>
The Tonight Show,help,"The Tonight Show can play the latest Monologue, listen to Jimmyâ€™s Thank You Notes, find out which guests will appear on upcoming episodes or tell you more about the show. Try saying things like play the monologue or who is on the show this week. How can I help you?"
The Tonight Show,stop,Ok. Goodbye
The Tonight Show,quit,
The Tonight Show,"Alexa, open The Tonight Show",<Short audio>
The Tonight Show,help,"The Tonight Show can play the latest Monologue, listen to Jimmyâ€™s Thank You Notes, find out which guests will appear on upcoming episodes or tell you more about the show. Try saying things like play the monologue or who is on the show this week. How can I help you?"
The Tonight Show,stop,Ok. Goodbye
The Tonight Show,quit,
The Tonight Show,"Alexa, open The Tonight Show",<Short audio>
The Tonight Show,help,"The Tonight Show can play the latest Monologue, listen to Jimmyâ€™s Thank You Notes, find out which guests will appear on upcoming episodes or tell you more about the show. Try saying things like play the monologue or who is on the show this week. How can I help you?"
The Tonight Show,stop,Ok. Goodbye
The Tonight Show,quit,
The Tonight Show Monologue,"Alexa, open The Tonight Show Monologue",<Short audio>
The Tonight Show Monologue,help,"The Tonight Show can play the latest Monologue, listen to Jimmyâ€™s Thank You Notes, find out which guests will appear on upcoming episodes or tell you more about the show. Try saying things like play the monologue or who is on the show this week. How can I help you?"
The Tonight Show Monologue,stop,Ok. Goodbye
The Tonight Show Monologue,quit,
The Tonight Show Monologue,"Alexa, open The Tonight Show Monologue",<Short audio>
The Tonight Show Monologue,help,"The Tonight Show can play the latest Monologue, listen to Jimmyâ€™s Thank You Notes, find out which guests will appear on upcoming episodes or tell you more about the show. Try saying things like play the monologue or who is on the show this week. How can I help you?"
The Tonight Show Monologue,stop,Ok. Goodbye
The Tonight Show Monologue,quit,
The Tonight Show Monologue,"Alexa, open The Tonight Show Monologue",<Short audio>
The Tonight Show Monologue,help,"The Tonight Show can play the latest Monologue, listen to Jimmyâ€™s Thank You Notes, find out which guests will appear on upcoming episodes or tell you more about the show. Try saying things like play the monologue or who is on the show this week. How can I help you?"
The Tonight Show Monologue,stop,Ok. Goodbye
The Tonight Show Monologue,quit,
Spider-Man,"Alexa, open Spider-Man",<Short audio>
Spider-Man,help,"Sorry, I didn't catch that. You can choose from Spider-man: Into the Spider-verse, or Spider-man: Homecoming. Which will it be?"
Spider-Man,stop,"Speak soon, make sure to come back tomorrow for some new Spidey content!"
Spider-Man,quit,
Spider-Man,"Alexa, open Spider-Man",<Short audio>
Spider-Man,help,"Sorry, I didn't catch that. You can choose from Spider-man: Into the Spider-verse, or Spider-man: Homecoming. Which will it be?"
Spider-Man,stop,"Speak soon, make sure to come back tomorrow for some new Spidey content!"
Spider-Man,quit,
Spider-Man,"Alexa, open Spider-Man",<Short audio>
Spider-Man,help,"Sorry, I didn't catch that. You can choose from Spider-man: Into the Spider-verse, or Spider-man: Homecoming. Which will it be?"
Spider-Man,stop,"Speak soon, make sure to come back tomorrow for some new Spidey content!"
Spider-Man,quit,
Fandango,"Alexa, open Fandango","Welcome to Fandango, I can help you find showtimes to a movie. What can I help you with?"
Fandango,help,"You can search for movies by specific name, find movies playing nearby, or change your zip code. Try saying things like 'I want to see I Can Only Imagine' or 'change my zip code.' What would you like to do?"
Fandango,stop,Thank you for using Fandango. Good bye!
Fandango,quit,
Fandango,"Alexa, open Fandango","Welcome to Fandango, I can help you find showtimes to a movie. What can I help you with?"
Fandango,help,"You can search for movies by specific name, find movies playing nearby, or change your zip code. Try saying things like 'I want to see I Can Only Imagine' or 'change my zip code.' What would you like to do?"
Fandango,stop,Thank you for using Fandango. Good bye!
Fandango,quit,
Fandango,"Alexa, open Fandango","Welcome to Fandango, I can help you find showtimes to a movie. What can I help you with?"
Fandango,help,"You can search for movies by specific name, find movies playing nearby, or change your zip code. Try saying things like 'I want to see I Can Only Imagine' or 'change my zip code.' What would you like to do?"
Fandango,stop,Thank you for using Fandango. Good bye!
Fandango,quit,
Match Game,"Alexa, open Match Game","Hmm, I don't know that one."
Match Game,help,"For Help, please visit the help pages on the Amazon web site."
Match Game,stop,
Match Game,quit,
Match Game,"Alexa, open Match Game","Hmm, I don't know that one."
Match Game,help,"For Help, please visit the help pages on the Amazon web site."
Match Game,stop,
Match Game,quit,
Match Game,"Alexa, open Match Game","Sorry, Iâ€™m not sure about that."
Match Game,help,"For Help, please visit the help pages on the Amazon web site."
Match Game,stop,
Match Game,quit,
Atom Tickets,"Alexa, open Atom Tickets","Ok, Here's Fandango"
Atom Tickets,help,What's your zip code?
Atom Tickets,stop,Thank you for using Fandango. Good bye!
Atom Tickets,quit,
Atom Tickets,"Alexa, open Atom Tickets","Ok, Here's Fandango"
Atom Tickets,help,What's your zip code?
Atom Tickets,stop,Thank you for using Fandango. Good bye!
Atom Tickets,quit,
Atom Tickets,"Alexa, open Atom Tickets","Ok, Here's Fandango"
Atom Tickets,help,What's your zip code?
Atom Tickets,stop,Thank you for using Fandango. Good bye!
Atom Tickets,quit,
Screen Test | Movie Quote Quiz,"Alexa, open Screen Test | Movie Quote Quiz","Welcome to the Cinema Playground Screen Test. I will play 5 movie quotes. Just say the answer. If you need to hear the quote again, just say repeat. Good Luck. Quote 1."
Screen Test | Movie Quote Quiz,help,"To start a new game at any time, say, start new game. To repeat the last quote, say, repeat. Would you like to keep playing?"
Screen Test | Movie Quote Quiz,stop,Thanks for playing the Cinema Playground Screen Test.
Screen Test | Movie Quote Quiz,quit,
Screen Test | Movie Quote Quiz,"Alexa, open Screen Test | Movie Quote Quiz","Welcome to the Cinema Playground Screen Test. I will play 5 movie quotes. Just say the answer. If you need to hear the quote again, just say repeat. Good Luck. Quote 1."
Screen Test | Movie Quote Quiz,help,"To start a new game at any time, say, start new game. To repeat the last quote, say, repeat. Would you like to keep playing?"
Screen Test | Movie Quote Quiz,stop,Thanks for playing the Cinema Playground Screen Test.
Screen Test | Movie Quote Quiz,quit,
Screen Test | Movie Quote Quiz,"Alexa, open Screen Test | Movie Quote Quiz","Welcome to the Cinema Playground Screen Test. I will play 5 movie quotes. Just say the answer. If you need to hear the quote again, just say repeat. Good Luck. Quote 1."
Screen Test | Movie Quote Quiz,help,"To start a new game at any time, say, start new game. To repeat the last quote, say, repeat. Would you like to keep playing?"
Screen Test | Movie Quote Quiz,stop,Thanks for playing the Cinema Playground Screen Test.
Screen Test | Movie Quote Quiz,quit,
The Office Quote Game,"Alexa, open The Office Quote Game",The Office Quote Game contains mature content that may not be suitable for all ages
The Office Quote Game,help,"For Help, please visit the help pages on the Amazon web site."
The Office Quote Game,stop,
The Office Quote Game,quit,
The Office Quote Game,"Alexa, open The Office Quote Game",The Office Quote Game contains mature content that may not be suitable for all ages
The Office Quote Game,help,"For Help, please visit the help pages on the Amazon web site."
The Office Quote Game,stop,
The Office Quote Game,quit,
The Office Quote Game,"Alexa, open The Office Quote Game",The Office Quote Game contains mature content that may not be suitable for all ages
The Office Quote Game,help,"For Help, please visit the help pages on the Amazon web site."
The Office Quote Game,stop,
The Office Quote Game,quit,
Burger of the Day,"Alexa, open Burger of the Day","Ok, Here's Burger of the Day"
Burger of the Day,help,"For Help, please visit the help pages on the Amazon web site."
Burger of the Day,stop,
Burger of the Day,quit,
Burger of the Day,"Alexa, open Burger of the Day","Ok, Here's Burger of the Day"
Burger of the Day,help,"For Help, please visit the help pages on the Amazon web site."
Burger of the Day,stop,
Burger of the Day,quit,
Burger of the Day,"Alexa, open Burger of the Day","Ok, Here's Burger of the Day"
Burger of the Day,help,"For Help, please visit the help pages on the Amazon web site."
Burger of the Day,stop,
Burger of the Day,quit,
YourDirect TV,"Alexa, open YourDirect TV","Hello, welcome to your direct tv guide. Having trouble remembering the channel numbers ?. Dont worry, I have got you covered. Tell me what are you looking for ?"
YourDirect TV,help,"No worries, i will help you out. To know about a channel number, ask , what is the channel number of bloomberg tv or any channel of your choice. Furthermore, you can also find out about a particular category of channels. Ask, where can i find regional sports networks or music channels ?."
YourDirect TV,stop,"Thanks for using your direct tv guide. I am here for you, whenever you need."
YourDirect TV,quit,
YourDirect TV,"Alexa, open YourDirect TV","Hello, welcome to your direct tv guide. Having trouble remembering the channel numbers ?. Dont worry, I have got you covered. Tell me what are you looking for ?"
YourDirect TV,help,"No worries, i will help you out. To know about a channel number, ask , what is the channel number of bloomberg tv or any channel of your choice. Furthermore, you can also find out about a particular category of channels. Ask, where can i find regional sports networks or music channels ?."
YourDirect TV,stop,"Thanks for using your direct tv guide. I am here for you, whenever you need."
YourDirect TV,quit,
YourDirect TV,"Alexa, open YourDirect TV","Hello, welcome to your direct tv guide. Having trouble remembering the channel numbers ?. Dont worry, I have got you covered. Tell me what are you looking for ?"
YourDirect TV,help,"No worries, i will help you out. To know about a channel number, ask , what is the channel number of bloomberg tv or any channel of your choice. Furthermore, you can also find out about a particular category of channels. Ask, where can i find regional sports networks or music channels ?."
YourDirect TV,stop,"Thanks for using your direct tv guide. I am here for you, whenever you need."
YourDirect TV,quit,
Deadpool,"Alexa, open Deadpool","Hmm, I don't know that."
Deadpool,help,"For Help, please visit the help pages on the Amazon web site."
Deadpool,stop,
Deadpool,quit,
Deadpool,"Alexa, open Deadpool","Sorry, Iâ€™m not sure about that."
Deadpool,help,"For Help, please visit the help pages on the Amazon web site."
Deadpool,stop,
Deadpool,quit,
Deadpool,"Alexa, open Deadpool","Sorry, I don't know that one."
Deadpool,help,"For Help, please visit the help pages on the Amazon web site."
Deadpool,stop,
Deadpool,quit,
Seinfeld Fan Trivia,"Alexa, open Seinfeld Fan Trivia","Seinfeld Trivia. I will ask you 5 questions, try to get as many right as you can. Just say the number of the answer. Let's begin.Question 1. When George and Kramer visit the bus boy, what or who slips out the door? 1. A dog. 2. A cat. 3. A snake. 4. The baby."
Seinfeld Fan Trivia,help,"I will ask you 5 multiple choice questions, try to get as many right as you can! To give an answer to a question, respond with the number of the answer by saying one, two, three, or four. To start a new game at any time, say, start game. To repeat the last question asked, say, repeat."
Seinfeld Fan Trivia,stop,Good bye!
Seinfeld Fan Trivia,quit,
