name,question,response
Ambient Sounds: Thunderstorm Sounds,"Alexa, open Ambient Sounds: Thunderstorm Sounds"
Ambient Sounds: Thunderstorm Sounds,help,"For Help, please visit the help pages on the Amazon web site."
Ambient Sounds: Thunderstorm Sounds,stop,
Ambient Sounds: Thunderstorm Sounds,quit,
Sleep and Relaxation Sounds,"Alexa, open Sleep and Relaxation Sounds","Hmm, I have a few skills that can help."
Sleep and Relaxation Sounds,help,"For Help, please visit the help pages on the Amazon web site."
Sleep and Relaxation Sounds,stop,
Sleep and Relaxation Sounds,quit,
Ambient Sounds: Rain Sounds,"Alexa, open Ambient Sounds: Rain Sounds",<Short audio>
Ambient Sounds: Rain Sounds,help,"For Help, please visit the help pages on the Amazon web site."
Ambient Sounds: Rain Sounds,stop,
Ambient Sounds: Rain Sounds,quit,
Ambient Sounds: Ocean Sounds,"Alexa, open Ambient Sounds: Ocean Sounds",<Short audio>
Ambient Sounds: Ocean Sounds,help,"For Help, please visit the help pages on the Amazon web site."
Ambient Sounds: Ocean Sounds,stop,
Ambient Sounds: Ocean Sounds,quit,
Sleep Sounds: Ocean Sounds,"Alexa, open Sleep Sounds: Ocean Sounds",You were listening to fire Would you like to resume?
Sleep Sounds: Ocean Sounds,help,You were listening to fire Would you like to resume?
Sleep Sounds: Ocean Sounds,stop,Good bye.
Sleep Sounds: Ocean Sounds,quit,
Sleep Sounds: Thunderstorm Sounds,"Alexa, open Sleep Sounds: Thunderstorm Sounds"
Sleep Sounds: Thunderstorm Sounds,help,"For Help, please visit the help pages on the Amazon web site."
Sleep Sounds: Thunderstorm Sounds,stop,
Sleep Sounds: Thunderstorm Sounds,quit,
SiriusXM,"Alexa, open SiriusXM",You have Stock Prices by Opening Bell enabled. Do you want to open it?
SiriusXM,Yes,What stock price would you like me to look up?
SiriusXM,help,"I can tell you the stock price of any publicly traded company such as Apple, Tesla, Microsoft, and many more. Which would you like?"
SiriusXM,stop,O.K.
SiriusXM,quit,
Sleep Sounds,"Alexa, open Sleep Sounds",Welcome back! What can I do for you?
Sleep Sounds,help,"To play a sound just say play, and then the name of the sound you wish to play. You can say Play thunderstorm, or Play rain, or Play ocean. For a full list of sounds, say List sounds."
Sleep Sounds,stop,
Sleep Sounds,quit,
Ambient Sounds: Babbling Brook,"Alexa, open Ambient Sounds: Babbling Brook",<Short audio>
Ambient Sounds: Babbling Brook,help,"For Help, please visit the help pages on the Amazon web site."
Ambient Sounds: Babbling Brook,stop,
Ambient Sounds: Babbling Brook,quit,
Sleep Sounds: Box Fan Sounds,"Alexa, open Sleep Sounds: Box Fan Sounds","Welcome back! If you'd like to get an additional 25 FREE sounds and disable future in-skill messages, visit sleep sounds dot i.o. in your browser and sign up for our mailing list. That's sleep sounds dot i.o. Get your FREE sounds now! What would you like to do?"
Sleep Sounds: Box Fan Sounds,help,"To play a sound just say play, and then the name of the sound you wish to play. You can say Play thunderstorm, or Play rain, or Play ocean. For a full list of sounds, say List sounds."
Sleep Sounds: Box Fan Sounds,stop,
Sleep Sounds: Box Fan Sounds,quit,
Ambient Sounds: Distant Thunderstorm,"Alexa, open Ambient Sounds: Distant Thunderstorm",<Short audio>
Ambient Sounds: Distant Thunderstorm,help,"For Help, please visit the help pages on the Amazon web site."
Ambient Sounds: Distant Thunderstorm,stop,
Ambient Sounds: Distant Thunderstorm,quit,
Sleep Sounds: White Noise,"Alexa, open Sleep Sounds: White Noise",Welcome back! What can I do for you?
Sleep Sounds: White Noise,help,"To play a sound just say play, and then the name of the sound you wish to play. You can say Play thunderstorm, or Play rain, or Play ocean. For a full list of sounds, say List sounds."
Sleep Sounds: White Noise,stop,
Sleep Sounds: White Noise,quit,
Sleep Sounds: Heavy Rain,"Alexa, open Sleep Sounds: Heavy Rain",<Short audio>
Sleep Sounds: Heavy Rain,help,"For Help, please visit the help pages on the Amazon web site."
Sleep Sounds: Heavy Rain,stop,
Sleep Sounds: Heavy Rain,quit,
Ambient Sounds: Rainforest Sounds,"Alexa, open Ambient Sounds: Rainforest Sounds"
Ambient Sounds: Rainforest Sounds,help,"For Help, please visit the help pages on the Amazon web site."
Ambient Sounds: Rainforest Sounds,stop,
Ambient Sounds: Rainforest Sounds,quit,
Apple Music,"Alexa, open Apple Music","For Apple Music, just say, Play Apple Music"
Apple Music,help,"For Help, please visit the help pages on the Amazon web site."
Apple Music,stop,
Apple Music,quit,
Sleep Sounds: Rain Sounds,"Alexa, open Sleep Sounds: Rain Sounds"
Sleep Sounds: Rain Sounds,help,"For Help, please visit the help pages on the Amazon web site."
Sleep Sounds: Rain Sounds,stop,
Sleep Sounds: Rain Sounds,quit,
Sleep Sounds: Beautiful Dream,"Alexa, open Sleep Sounds: Beautiful Dream",You have Sleep and Relaxation Sounds enabled. Do you want to open it?
Sleep Sounds: Beautiful Dream,Yes,Welcome back! What can I do for you?
Sleep Sounds: Beautiful Dream,help,"To play a sound just say play, and then the name of the sound you wish to play. You can say Play thunderstorm, or Play rain, or Play ocean. For a full list of sounds, say List sounds."
Sleep Sounds: Beautiful Dream,stop,
Sleep Sounds: Beautiful Dream,quit,
TED Talks,"Alexa, open TED Talks","Welcome back to TED talks. You can say, begin a talk, search for talks by Joshua Prince-Ramus, play a talk that's Courageous. What would you like to listen to?"
TED Talks,help,"You can say, play talk, play a talk given by Ken Robinson, play a talk that's Persuasive. What would you like to listen to?"
TED Talks,stop,Good bye.
TED Talks,quit,
Ambient Sounds: Fireplace Sounds,"Alexa, open Ambient Sounds: Fireplace Sounds",<Short audio>
Ambient Sounds: Fireplace Sounds,help,"For Help, please visit the help pages on the Amazon web site."
Ambient Sounds: Fireplace Sounds,stop,
Ambient Sounds: Fireplace Sounds,quit,
Ambient Sounds: Rain on a Tin Roof,"Alexa, open Ambient Sounds: Rain on a Tin Roof",<Short audio>
