name,question,response
NPR,"Alexa, open NPR",You have NPR enabled. Do you want to open it?
NPR,Yes,"Welcome to NPR. Tell me the name of the station you want to hear, or say ""browse by location""."
NPR,help,"NPR can play live public radio for you from around the country. You can ask for a station by name, or say: ""browse by location"". To ask for a station by name, say: ""Alexa, ask NPR to play"", using the name of the station. You can also say: ""Alexa, play NPR."" ""Alexa, ask NPR: what's my station?"" ""Alexa, ask NPR: what's playing?"" To change your station, say: ""Alexa, ask NPR to change my station."" For more information, check out the card I've added to your Alexa app. What would you like to do?"
NPR,stop,
NPR,quit,
NPR,"Alexa, open NPR",You have NPR enabled. Do you want to open it?
NPR,Yes,"Welcome to NPR. Tell me the name of the station you want to hear, or say ""browse by location""."
NPR,help,"NPR can play live public radio for you from around the country. You can ask for a station by name, or say: ""browse by location"". To ask for a station by name, say: ""Alexa, ask NPR to play"", using the name of the station. You can also say: ""Alexa, play NPR."" ""Alexa, ask NPR: what's my station?"" ""Alexa, ask NPR: what's playing?"" To change your station, say: ""Alexa, ask NPR to change my station."" For more information, check out the card I've added to your Alexa app. What would you like to do?"
NPR,stop,
NPR,quit,
NPR,"Alexa, open NPR",You have NPR enabled. Do you want to open it?
NPR,Yes,"Welcome to NPR. Tell me the name of the station you want to hear, or say ""browse by location""."
NPR,help,"NPR can play live public radio for you from around the country. You can ask for a station by name, or say: ""browse by location"". To ask for a station by name, say: ""Alexa, ask NPR to play"", using the name of the station. You can also say: ""Alexa, play NPR."" ""Alexa, ask NPR: what's my station?"" ""Alexa, ask NPR: what's playing?"" To change your station, say: ""Alexa, ask NPR to change my station."" For more information, check out the card I've added to your Alexa app. What would you like to do?"
NPR,stop,
NPR,quit,
NPR One,"Alexa, open NPR One",You have NPR One enabled. Do you want to open it?
NPR One,Yes,
NPR One,help,"For Help, please visit the help pages on the Amazon web site."
NPR One,stop,
NPR One,quit,
NPR One,"Alexa, open NPR One",You have NPR One enabled. Do you want to open it?
NPR One,Yes,
NPR One,help,"For Help, please visit the help pages on the Amazon web site."
NPR One,stop,
NPR One,quit,
NPR One,"Alexa, open NPR One",You have NPR One enabled. Do you want to open it?
NPR One,Yes,
NPR One,help,"For Help, please visit the help pages on the Amazon web site."
NPR One,stop,
NPR One,quit,
CNN,"Alexa, open CNN",You have CNN enabled. Do you want to open it?
CNN,Yes,<Short audio>
CNN,help,"CNN can play recent news or stories by subject. To hear what CNN is covering, ask for headlines, or jump right in by asking for the latest news. You can also ask for a quiz or Special Content on some of our favorite content. What would you like?"
CNN,stop,Check back soon for the latest news from C.N.N.
CNN,quit,
CNN,"Alexa, open CNN",You have CNN enabled. Do you want to open it?
CNN,Yes,<Short audio>
CNN,help,"CNN can play recent news or stories by subject. To hear what CNN is covering, ask for headlines, or jump right in by asking for the latest news. You can also ask for a quiz or Special Content on some of our favorite content. What would you like?"
CNN,stop,Check back soon for the latest news from C.N.N.
CNN,quit,
CNN,"Alexa, open CNN",You have CNN enabled. Do you want to open it?
CNN,Yes,<Short audio>
CNN,help,"CNN can play recent news or stories by subject. To hear what CNN is covering, ask for headlines, or jump right in by asking for the latest news. You can also ask for a quiz or Special Content on some of our favorite content. What would you like?"
CNN,stop,Check back soon for the latest news from C.N.N.
CNN,quit,
The Washington Post,"Alexa, open The Washington Post","Welcome to The Washington Post. We have three daily shows. Just ask me for news, politics, or a story from history. What would you like to do?"
The Washington Post,help,"The Washington Post has three audio shows that are updated every weekday. The news show, Post Reports, covers the reporting of the Post newsroom. It is about twenty minutes long. The politics show, The Daily Two Oh Two’s Big Idea, analyzes the most important political developments and runs for about eight minutes. The history show, Retropod, brings you one fascinating moment from history every episode. It runs for about five minutes. To play one of these shows, just ask me for news, politics, or history. You can also ask me to play today’s headlines, or stop. What would you like to do?"
The Washington Post,stop,Thanks from The Washington Post.
The Washington Post,quit,
The Washington Post,"Alexa, open The Washington Post","Welcome to The Washington Post. We have three daily shows. Just ask me for news, politics, or a story from history. What would you like to do?"
The Washington Post,help,"The Washington Post has three audio shows that are updated every weekday. The news show, Post Reports, covers the reporting of the Post newsroom. It is about twenty minutes long. The politics show, The Daily Two Oh Two’s Big Idea, analyzes the most important political developments and runs for about eight minutes. The history show, Retropod, brings you one fascinating moment from history every episode. It runs for about five minutes. To play one of these shows, just ask me for news, politics, or history. You can also ask me to play today’s headlines, or stop. What would you like to do?"
The Washington Post,stop,Thanks from The Washington Post.
The Washington Post,quit,
The Washington Post,"Alexa, open The Washington Post","Welcome to The Washington Post. We have three daily shows. Just ask me for news, politics, or a story from history. What would you like to do?"
The Washington Post,help,"The Washington Post has three audio shows that are updated every weekday. The news show, Post Reports, covers the reporting of the Post newsroom. It is about twenty minutes long. The politics show, The Daily Two Oh Two’s Big Idea, analyzes the most important political developments and runs for about eight minutes. The history show, Retropod, brings you one fascinating moment from history every episode. It runs for about five minutes. To play one of these shows, just ask me for news, politics, or history. You can also ask me to play today’s headlines, or stop. What would you like to do?"
The Washington Post,stop,Thanks from The Washington Post.
The Washington Post,quit,
ESPN,"Alexa, open ESPN",You have ESPN enabled. Do you want to open it?
ESPN,Yes,"Welcome to ESPN, I'm your go-to voice assistant for everything sports. Here are some things you can say: Play ESPN Radio, or Play Recent News. You can also say stop if you’re done. What would you like to do?"
ESPN,help,"you can ask me to play recent news, or ESPN Radio. What would you like to do?"
ESPN,stop,Good bye.
ESPN,quit,
ESPN,"Alexa, open ESPN",You have ESPN enabled. Do you want to open it?
ESPN,Yes,"Welcome to ESPN, I'm your go-to voice assistant for everything sports. Here are some things you can say: Play ESPN Radio, or Play Recent News. You can also say stop if you’re done. What would you like to do?"
ESPN,help,"you can ask me to play recent news, or ESPN Radio. What would you like to do?"
ESPN,stop,Good bye.
ESPN,quit,
ESPN,"Alexa, open ESPN",You have ESPN enabled. Do you want to open it?
ESPN,Yes,"Welcome to ESPN, I'm your go-to voice assistant for everything sports. Here are some things you can say: Play ESPN Radio, or Play Recent News. You can also say stop if you’re done. What would you like to do?"
ESPN,help,"you can ask me to play recent news, or ESPN Radio. What would you like to do?"
ESPN,stop,Good bye.
ESPN,quit,
The Daily Show,"Alexa, open The Daily Show",<Short audio>
The Daily Show,help,"The Daily Show skill can give you the latest news, interviews, upcoming guests, and information about show times. Try saying things like: What is the latest news? Who are the upcoming guests? Or, what time is the show on? What would you like?"
The Daily Show,stop,Thank you for visiting The Daily Show. Check back tomorrow for the latest news.
The Daily Show,quit,
The Daily Show,"Alexa, open The Daily Show",<Short audio>
The Daily Show,help,"The Daily Show skill can give you the latest news, interviews, upcoming guests, and information about show times. Try saying things like: What is the latest news? Who are the upcoming guests? Or, what time is the show on? What would you like?"
The Daily Show,stop,Thank you for visiting The Daily Show. Check back tomorrow for the latest news.
The Daily Show,quit,
The Daily Show,"Alexa, open The Daily Show",<Short audio>
The Daily Show,help,"The Daily Show skill can give you the latest news, interviews, upcoming guests, and information about show times. Try saying things like: What is the latest news? Who are the upcoming guests? Or, what time is the show on? What would you like?"
The Daily Show,stop,Thank you for visiting The Daily Show. Check back tomorrow for the latest news.
The Daily Show,quit,
NBC News,"Alexa, open NBC News","Welcome to nbc news,you can ask what's trending get the top topics or ask for breaking news. Which would you like to hear?"
NBC News,help,"“Thanks for being patient. We are not as good as lester holt.The NBC news skill is your voice guide to the latest news stories on NBC news dot com.You can ask for what's trending or for breaking news,or for our top topics, like Politics, Business, and health.Don't forget to check NBC news dot com for more in-depth coverage.What would you like to listen to?"
NBC News,stop,Good bye .
NBC News,quit,
NBC News,"Alexa, open NBC News","Welcome to nbc news,you can ask what's trending get the top topics or ask for breaking news. Which would you like to hear?"
NBC News,help,"“Thanks for being patient. We are not as good as lester holt.The NBC news skill is your voice guide to the latest news stories on NBC news dot com.You can ask for what's trending or for breaking news,or for our top topics, like Politics, Business, and health.Don't forget to check NBC news dot com for more in-depth coverage.What would you like to listen to?"
NBC News,stop,Good bye .
NBC News,quit,
NBC News,"Alexa, open NBC News","Welcome to nbc news,you can ask what's trending get the top topics or ask for breaking news. Which would you like to hear?"
NBC News,help,"“Thanks for being patient. We are not as good as lester holt.The NBC news skill is your voice guide to the latest news stories on NBC news dot com.You can ask for what's trending or for breaking news,or for our top topics, like Politics, Business, and health.Don't forget to check NBC news dot com for more in-depth coverage.What would you like to listen to?"
NBC News,stop,Good bye .
NBC News,quit,
Dallas Cowboys (Official),"Alexa, open Dallas Cowboys (Official)",
Dallas Cowboys (Official),help,"For Help, please visit the help pages on the Amazon web site."
Dallas Cowboys (Official),stop,
Dallas Cowboys (Official),quit,
Dallas Cowboys (Official),"Alexa, open Dallas Cowboys (Official)",
Dallas Cowboys (Official),help,"For Help, please visit the help pages on the Amazon web site."
Dallas Cowboys (Official),stop,
Dallas Cowboys (Official),quit,
College Football Rankings,"Alexa, open College Football Rankings","Welcome to College Football Rankings! You can ask to hear any number of the top one to twenty five teams. If you need help, say Help!"
College Football Rankings,help,"You may ask what are the top 1 through 25 teams. You may also just say what are the rankings. Additionally, if you would like to close the application say close or stop! What would you like to do?"
College Football Rankings,stop,"Thank you, and goodbye!"
College Football Rankings,quit,
College Football Rankings,"Alexa, open College Football Rankings","Welcome to College Football Rankings! You can ask to hear any number of the top one to twenty five teams. If you need help, say Help!"
College Football Rankings,help,"You may ask what are the top 1 through 25 teams. You may also just say what are the rankings. Additionally, if you would like to close the application say close or stop! What would you like to do?"
College Football Rankings,stop,"Thank you, and goodbye!"
College Football Rankings,quit,
College Football Rankings,"Alexa, open College Football Rankings","Welcome to College Football Rankings! You can ask to hear any number of the top one to twenty five teams. If you need help, say Help!"
College Football Rankings,help,"You may ask what are the top 1 through 25 teams. You may also just say what are the rankings. Additionally, if you would like to close the application say close or stop! What would you like to do?"
College Football Rankings,stop,"Thank you, and goodbye!"
College Football Rankings,quit,
StatMuse,"Alexa, open StatMuse","Hmm, I don't know that one."
StatMuse,help,"For Help, please visit the help pages on the Amazon web site."
StatMuse,stop,
StatMuse,quit,
StatMuse,"Alexa, open StatMuse","Sorry, I don't know that."
StatMuse,help,"For Help, please visit the help pages on the Amazon web site."
StatMuse,stop,
StatMuse,quit,
StatMuse,"Alexa, open StatMuse","Hmm, I'm not sure."
StatMuse,help,"For Help, please visit the help pages on the Amazon web site."
StatMuse,stop,
StatMuse,quit,
Trump Impeachment Clock,"Alexa, open Trump Impeachment Clock","Sorry, I can’t find the answer to the question I heard."
Trump Impeachment Clock,help,"For Help, please visit the help pages on the Amazon web site."
Trump Impeachment Clock,stop,
Trump Impeachment Clock,quit,
Trump Impeachment Clock,"Alexa, open Trump Impeachment Clock","Sorry, I can’t find the answer to the question I heard."
Trump Impeachment Clock,help,"For Help, please visit the help pages on the Amazon web site."
Trump Impeachment Clock,stop,
Trump Impeachment Clock,quit,
Trump Impeachment Clock,"Alexa, open Trump Impeachment Clock","Sorry, I can’t find the answer to the question I heard."
Trump Impeachment Clock,help,"For Help, please visit the help pages on the Amazon web site."
Trump Impeachment Clock,stop,
Trump Impeachment Clock,quit,
New Jersey 101.5,"Alexa, open New Jersey 101.5","Sorry, I’m not sure about that."
New Jersey 101.5,help,"For Help, please visit the help pages on the Amazon web site."
New Jersey 101.5,stop,
New Jersey 101.5,quit,
NCAA March Madness,"Alexa, open NCAA March Madness",You have NCAA March Madness enabled. Do you want to open it?
NCAA March Madness,Yes,<Audio only response>
NCAA March Madness,help,"For Help, please visit the help pages on the Amazon web site."
NCAA March Madness,stop,
NCAA March Madness,quit,
NCAA March Madness,"Alexa, open NCAA March Madness",You have NCAA March Madness enabled. Do you want to open it?
NCAA March Madness,Yes,<Audio only response>
NCAA March Madness,help,"For Help, please visit the help pages on the Amazon web site."
NCAA March Madness,stop,
NCAA March Madness,quit,
NCAA March Madness,"Alexa, open NCAA March Madness",You have NCAA March Madness enabled. Do you want to open it?
NCAA March Madness,Yes,"Welcome to March Madness! Your go to place to find March Madness tournament live broadcasts and game coverage. I can give you scores, schedules, live radio, or information about your bracket picks. What would you like?"
NCAA March Madness,help,"The March Madness skill is here to keep you up to date with the tournament. You can hear the schedule, find scores or listen to live games. Try saying things like: ""Listen to the Duke versus North Carolina game"", ""What games are live today"", or ""What is the score of the Villanova game?"" What can I help you with?"
NCAA March Madness,stop,Okay.
NCAA March Madness,quit,
Daily Horoscope,"Alexa, open Daily Horoscope",Welcome to Daily Astrology! Which sign's horoscope would you like to hear?
Daily Horoscope,help,I can tell you the daily horoscope for any sign you like!
Daily Horoscope,stop,Good bye! Thank you for using Daily Astrology!
Daily Horoscope,quit,
Daily Horoscope,"Alexa, open Daily Horoscope",Welcome to Daily Astrology! Which sign's horoscope would you like to hear?
Daily Horoscope,help,I can tell you the daily horoscope for any sign you like!
Daily Horoscope,stop,Good bye! Thank you for using Daily Astrology!
Daily Horoscope,quit,
Daily Horoscope,"Alexa, open Daily Horoscope",Welcome to Daily Astrology! Which sign's horoscope would you like to hear?
Daily Horoscope,help,I can tell you the daily horoscope for any sign you like!
Daily Horoscope,stop,Good bye! Thank you for using Daily Astrology!
Daily Horoscope,quit,
NBA,"Alexa, open NBA","Hmm, I don't know that one."
NBA,help,"For Help, please visit the help pages on the Amazon web site."
NBA,stop,
NBA,quit,
NBA,"Alexa, open NBA","Hmm, I'm not sure."
NBA,help,"For Help, please visit the help pages on the Amazon web site."
NBA,stop,
NBA,quit,
NBA,"Alexa, open NBA","Sorry, I don't know that one."
