name,question,response
4AFart,"Alexa, open 4AFart",You have 4AFart enabled. Do you want to open it?
4AFart,Yes,<Short audio>
4AFart,help,"For Help, please visit the help pages on the Amazon web site."
4AFart,stop,
4AFart,quit,
Short Bedtime Story,"Alexa, open Short Bedtime Story",What is your name?
Short Bedtime Story,help,"To play The Short Bedtime Story, just say a name. What is your name?"
Short Bedtime Story,stop,So long.
Short Bedtime Story,quit,
Comedy Central,"Alexa, open Comedy Central",Comedy Central contains mature content that may not be suitable for all ages
Comedy Central,help,"For Help, please visit the help pages on the Amazon web site."
Comedy Central,stop,
Comedy Central,quit,
Yo Mama Jokes,"Alexa, open Yo Mama Jokes",Yo Mama Jokes contains mature content that may not be suitable for all ages
Yo Mama Jokes,help,"For Help, please visit the help pages on the Amazon web site."
Yo Mama Jokes,stop,
Yo Mama Jokes,quit,
SoftKitty,"Alexa, open SoftKitty","Sorry, I don't know that."
SoftKitty,help,"For Help, please visit the help pages on the Amazon web site."
SoftKitty,stop,
SoftKitty,quit,
Fart Noise,"Alexa, open Fart Noise",<Short audio>
Fart Noise,help,"For Help, please visit the help pages on the Amazon web site."
Fart Noise,stop,
Fart Noise,quit,
Ghost Detector,"Alexa, open Ghost Detector","Wow, what luck. I detected a level 2 plain ghost. It is worth 2 ghost bux. You have detected 1 plain ghost."
Ghost Detector,help,"For Help, please visit the help pages on the Amazon web site."
Ghost Detector,stop,
Ghost Detector,quit,
The Name Game (banana-fana),"Alexa, open The Name Game (banana-fana)",Welcome to the Name Game. What name should I use?
The Name Game (banana-fana),help,"Just tell me any word or name, and I'll play The Name Game with it. What name would you like me to use?"
The Name Game (banana-fana),stop,
The Name Game (banana-fana),quit,
Virtual Trump,"Alexa, open Virtual Trump",Virtual Trump contains mature content that may not be suitable for all ages
Virtual Trump,help,"For Help, please visit the help pages on the Amazon web site."
Virtual Trump,stop,
Virtual Trump,quit,
Deez Nuts,"Alexa, open Deez Nuts","Sorry, I don't know that."
Deez Nuts,help,"For Help, please visit the help pages on the Amazon web site."
Deez Nuts,stop,
Deez Nuts,quit,
Meow,"Alexa, open Meow","Sorry, I'm having trouble accessing your Cats Meow skill right now"
Meow,help,"For Help, please visit the help pages on the Amazon web site."
Meow,stop,
Meow,quit,
Crazy Fact,"Alexa, open Crazy Fact",Crazy Fact contains mature content that may not be suitable for all ages
Crazy Fact,help,"For Help, please visit the help pages on the Amazon web site."
Crazy Fact,stop,
Crazy Fact,quit,
Gordon Ramsay,"Alexa, open Gordon Ramsay",Gordon Ramsay contains mature content that may not be suitable for all ages
Gordon Ramsay,help,"For Help, please visit the help pages on the Amazon web site."
Gordon Ramsay,stop,
Gordon Ramsay,quit,
Farty Pants,"Alexa, open Farty Pants","Sorry, I’m not sure about that."
Farty Pants,help,"For Help, please visit the help pages on the Amazon web site."
Farty Pants,stop,
Farty Pants,quit,
The Name Game Song,"Alexa, open The Name Game Song",You have The Name Game (banana-fana) enabled. Do you want to open it?
The Name Game Song,Yes,Welcome to the Name Game. What name should I use?
The Name Game Song,help,"Just tell me any word or name, and I'll play The Name Game with it. What name would you like me to use?"
The Name Game Song,stop,
The Name Game Song,quit,
Christmas Countdown,"Alexa, open Christmas Countdown",There are 251 days to Christmas!
Christmas Countdown,help,"For Help, please visit the help pages on the Amazon web site."
Christmas Countdown,stop,
Christmas Countdown,quit,
Daily Meditations,"Alexa, open Daily Meditations","Welcome back! . Say, ""play meditation"", to begin today's meditation of the day, Clear Your Mind."
Daily Meditations,help,"Each day, Guided Meditation offers a new meditation of the day. To begin the meditation of the day, say ""play meditation"""
Daily Meditations,stop,Good bye!
Daily Meditations,quit,
Knock Knock Jokes,"Alexa, open Knock Knock Jokes","Welcome to Knock Knock, are you ready to play?"
Knock Knock Jokes,help,Want to hear a joke?
Knock Knock Jokes,stop,"Ok, see you next time!"
Knock Knock Jokes,quit,
