name,question,response
Redbox,"""Alexa, open Redbox.""",You have Redbox enabled. Do you want to open it?
Redbox,Yes,"Welcome to Redbox, your source for affordable movie and game rentals. How can Redbox help you?"
Redbox,"""Alexa, open Redbox.""","Sorry, RedBox did not understand your request. Some sample commands are: What's new?, Where is my closest Kiosk?, and when will a movie be available at redbox?. How can Redbox help you?"
Redbox,quit,
Redbox,"""Alexa, ask Redbox what's new at Redbox?""",<Audio only response>
Redbox,quit,
Redbox,quit,
Redbox,"""Alexa, ask Redbox where is my closest kiosk?""","I couldn't find that one, but I'm working on adding more local businesses."
Redbox,quit,
Redbox,quit,
AnyList,"""Alexa, add apples to my shopping list.""",I couldn't find a list called list. shopping. Should I create one?
AnyList,quit,
AnyList,"""Alexa, add bananas to my shopping list.""",I couldn't find a list called list. shopping. Should I create one?
AnyList,quit,
AnyList,quit,
AnyList,"""Alexa, add carrots to my shopping list.""",I couldn't find a list called list. shopping. Should I create one?
AnyList,quit,
AnyList,quit,
Out Of Milk,"""Alexa, ask Out Of Milk to add milk to my list""",I've put milk milk on your Shopping list.
Out Of Milk,quit,
Out Of Milk,"""Alexa, ask Out Of Milk to add milk to my list""",You already have milk milk on your shopping list. Would you like to add milk milk again?.
Out Of Milk,"""What is on my list""",You have 5 items on your shopping list.
Out Of Milk,quit,
Out Of Milk,"""Alexa, ask Out Of Milk to add milk to my list""",I've checked-off milk milk from your Shopping list.
Out Of Milk,"""Remove milk from my list""",I couldn't find milk on your list.
Out Of Milk,quit,
Bring! Shopping List,"""Alexa, open Bring and add milk.""",You have Bring! Shopping List enabled. Do you want to open it?
Bring! Shopping List,Yes,Welcome to Bring! How can I help?
Bring! Shopping List,"""Alexa, open Bring and add milk.""","Ok, milk. is on your list. whats next?"
Bring! Shopping List,quit,
Bring! Shopping List,"""Alexa, open Bring.""",You have Bring! Shopping List enabled. Do you want to open it?
Bring! Shopping List,Yes,Welcome to Bring! How can I help you?
Bring! Shopping List,"""Alexa, open Bring.""",bring. is not on your list. whats next?
Bring! Shopping List,quit,
Bring! Shopping List,quit,
Bring! Shopping List,"""Alexa, ask Bring what is on my list?""",You have 4 items on your shopping list.
Bring! Shopping List,quit,
Bring! Shopping List,quit,
Woot,"""Alexa, ask Woot for the daily deal.""",You have Woot enabled. Do you want to open it?
Woot,Yes,Welcome to Woot! Which category's deal would you like to hear about?
Woot,"""Alexa, ask Woot for the daily deal.""",Today's WOOT deal is NETGEAR Orbi Home Mesh WiFi System for $179.99 (44% off List Price). Cover your home in the mesh of a security net. And yea ye shall catch the errant miscreant with the net like the sea sailors of old snaggin evil gilled fish from the depths that would gladly feat on their eyes. And like those nets this mesh is made from strong fibers... only it's fiber optics and... uh... Jeez I really backed myself into a corner with this seafaring metaphor didn't I?
Woot,quit,
Woot,"""Alexa, ask Woot for the shirt deal.""",You have Woot enabled. Do you want to open it?
Woot,Yes,<Audio only response>
Woot,"""Alexa, ask Woot for the shirt deal.""",You have Woot enabled. Do you want to open it?
Woot,quit,
Woot,quit,
Woot,"""Alexa, ask Woot what the deal on electronics is.""",<Audio only response>
Woot,quit,
Woot,quit,
Toyota Finder,"""Alexa, open Toyota Finder""","Alright, let’s find you a Toyota! To start, either say “Find my Toyota”, say “Ask a question” or you can say something like “Find my SUV”."
Toyota Finder,quit,
Toyota Finder,"""Alexa, ask Toyota Finder to help me find an s. u. v.""","Hmm, I'm not sure."
Toyota Finder,quit,
Toyota Finder,quit,
Toyota Finder,"""Alexa, ask Toyota Finder to help me find a truck""",You have Toyota Finder enabled. Do you want to open it?
Toyota Finder,Yes,"Alright, let’s find you a Toyota! To start, either say “Find my Toyota”, say “Ask a question” or you can say something like “Find my SUV”."
Toyota Finder,"""Alexa, ask Toyota Finder to help me find a truck""","Alright, let's do it. First off, are you looking for a truck for work or for weekends?"
Toyota Finder,quit,
Toyota Finder,quit,
Carter's Customer Service,"""Alexa, ask Carter's where is my order?""",I didn't find any open orders for Yichen
Carter's Customer Service,quit,
Carter's Customer Service,"""Alexa, ask Carter's where are my pajamas?""",I didn't understand. Would you like package delivery notifications?
Carter's Customer Service,quit,
