name,question,response
Redbox,"Alexa, open Redbox","Welcome to Redbox, your source for affordable movie and game rentals. How can Redbox help you?"
Redbox,help,"You can ask me about movies, release dates, who acted in a movie, etc. Some sample commands are: What's new ?, What's coming soon ?, Where is my closest Kiosk?, and when will a movie be available at redbox?. How can Redbox help you?"
Redbox,stop,Ending conversation with Redbox.
Redbox,quit,
Redbox,"Alexa, open Redbox","Welcome to Redbox, your source for affordable movie and game rentals. How can Redbox help you?"
Redbox,help,"You can ask me about movies, release dates, who acted in a movie, etc. Some sample commands are: What's new ?, What's coming soon ?, Where is my closest Kiosk?, and when will a movie be available at redbox?. How can Redbox help you?"
Redbox,stop,Ending conversation with Redbox.
Redbox,quit,
Redbox,"Alexa, open Redbox","Welcome to Redbox, your source for affordable movie and game rentals. How can Redbox help you?"
Redbox,help,"You can ask me about movies, release dates, who acted in a movie, etc. Some sample commands are: What's new ?, What's coming soon ?, Where is my closest Kiosk?, and when will a movie be available at redbox?. How can Redbox help you?"
Redbox,stop,Ending conversation with Redbox.
Redbox,quit,
AnyList,"Alexa, open AnyList","Hmm, I don't know that."
AnyList,help,"For Help, please visit the help pages on the Amazon web site."
AnyList,stop,
AnyList,quit,
AnyList,"Alexa, open AnyList","Sorry, I’m not sure about that."
AnyList,help,"For Help, please visit the help pages on the Amazon web site."
AnyList,stop,
AnyList,quit,
AnyList,"Alexa, open AnyList","Sorry, I’m not sure about that."
AnyList,help,"For Help, please visit the help pages on the Amazon web site."
AnyList,stop,
AnyList,quit,
Out Of Milk,"Alexa, open Out Of Milk","Oops, looks like you're logged out. Please go to your companion app and re-link your account."
Out Of Milk,help,"For Help, please visit the help pages on the Amazon web site."
Out Of Milk,stop,
Out Of Milk,quit,
Out Of Milk,"Alexa, open Out Of Milk","Oops, looks like you're logged out. Please go to your companion app and re-link your account."
Out Of Milk,help,"For Help, please visit the help pages on the Amazon web site."
Out Of Milk,stop,
Out Of Milk,quit,
Out Of Milk,"Alexa, open Out Of Milk","Oops, looks like you're logged out. Please go to your companion app and re-link your account."
Out Of Milk,help,"For Help, please visit the help pages on the Amazon web site."
Out Of Milk,stop,
Out Of Milk,quit,
Bring! Shopping List,"Alexa, open Bring! Shopping List",You have Bring! Shopping List enabled. Do you want to open it?
Bring! Shopping List,Yes,Welcome to Bring! How can I help you?
Bring! Shopping List,help,"To add an item to your list just say: ""Add 1 pound chocolate to my list"". You can remove items by saying: ""remove chocolate"". I can read the content of your list to you if you say: ""What is on my list?"". To change the list please say: ""change my list to holiday home"". What do you want to do? whats next?"
Bring! Shopping List,stop,
Bring! Shopping List,quit,
Bring! Shopping List,"Alexa, open Bring! Shopping List",You have Bring! Shopping List enabled. Do you want to open it?
Bring! Shopping List,Yes,<Audio only response>
Bring! Shopping List,help,"For Help, please visit the help pages on the Amazon web site."
Bring! Shopping List,stop,
Bring! Shopping List,quit,
Bring! Shopping List,"Alexa, open Bring! Shopping List",You have Bring! Shopping List enabled. Do you want to open it?
Bring! Shopping List,Yes,Welcome to Bring! How can I help?
Bring! Shopping List,help,"To add an item to your list just say: ""Add 1 pound chocolate to my list"". You can remove items by saying: ""remove chocolate"". I can read the content of your list to you if you say: ""What is on my list?"". To change the list please say: ""change my list to holiday home"". What do you want to do? whats next?"
Bring! Shopping List,stop,Bye bye. Happy shopping!
Bring! Shopping List,quit,
Woot,"Alexa, open Woot",Welcome to Woot! Which category's deal would you like to hear about?
Woot,help,"You can get the deal of the day by asking for today's deal. You can also ask for a specific category. Categories are woot, home, electronics, computers, tools, sport, shirt, gourmet, sellout. Which category's deal would you like to hear about?"
Woot,stop,
Woot,quit,
Woot,"Alexa, open Woot",Welcome to Woot! Which category's deal would you like to hear about?
Woot,help,"You can get the deal of the day by asking for today's deal. You can also ask for a specific category. Categories are woot, home, electronics, computers, tools, sport, shirt, gourmet, sellout. Which category's deal would you like to hear about?"
Woot,stop,
Woot,quit,
Woot,"Alexa, open Woot",Welcome to Woot! Which category's deal would you like to hear about?
Woot,help,"You can get the deal of the day by asking for today's deal. You can also ask for a specific category. Categories are woot, home, electronics, computers, tools, sport, shirt, gourmet, sellout. Which category's deal would you like to hear about?"
Woot,stop,
Woot,quit,
Toyota Finder,"Alexa, open Toyota Finder","Alright, let’s find you a Toyota! To start, either say “Find my Toyota”, say “Ask a question” or you can say something like “Find my SUV”."
Toyota Finder,help,"I can help you find the perfect Toyota for you by saying ""Find my Toyota"" or if you are looking for a Hybrid or SUV you can say ""Find my Hybrid"". Additionally, I can try to answer whatever questions you may have about Toyota. What would you like?"
