name,question,response
Mastermind,"""Alexa, Ask Mastermind to text Kelly Miller""",Messaging with Alexa is not supported on this device. You can use the Alexa app instead.
Mastermind,quit,
Mastermind,"""Alexa, ask Mastermind to ring my phone""",
Mastermind,quit,
Mastermind,quit,
Mastermind,"""Alexa, talk to Mastermind""",What would you like to do?
Mastermind,quit,
Mastermind,quit,
Ask My Buddy,"""Alexa, ask My Buddy to send help""",You have Ask My Buddy enabled. Do you want to open it?
Ask My Buddy,Yes,"Welcome to Ask My Buddy, Who would you like to alert ?"
Ask My Buddy,"""Alexa, ask My Buddy to send help""","Sorry, it doesn't appear that you have linked your account yet!You must have an Ask My Buddy account to use this skill. Please use the Alexa app to link your Amazon account with your Ask My Buddy Account."
Ask My Buddy,quit,
Ask My Buddy,"""Alexa, ask My Buddy to check in with everyone.""",<Audio only response>
Ask My Buddy,quit,
Ask My Buddy,quit,
Ask My Buddy,"""Alexa, ask My Buddy to alert James.""","Ok, Here's Ask My Buddy"
Ask My Buddy,quit,
Ask My Buddy,quit,
Life360,"""Alexa, open Life360.""",<Audio only response>
Life360,quit,
Life360,"""Alexa, ask Life360 where is my family?""",You have Life360 enabled. Do you want to open it?
Life360,Yes,"Welcome to Life360. You can ask me to tell you where your whole family is, or ask for a family member by name. You can say help at anytime."
Life360,"""Alexa, ask Life360 where is my family?""",", La does not have a current location available"
Life360,quit,
Life360,quit,
Life360,"""Alexa, tell Life360 to change my circle.""",You have Life360 enabled. Do you want to open it?
Life360,Yes,"Welcome to Life360. You can ask me to tell you where your whole family is, or ask for a family member by name. You can say help at anytime."
Life360,"""Alexa, tell Life360 to change my circle.""",", La does not have a current location available"
Life360,quit,
Life360,quit,
Ooma (Phone and Home Security),"""Alexa, ask Ooma to play my voicemail""",Messaging with Alexa is not supported on this device. You can use the Alexa app instead.
Ooma (Phone and Home Security),quit,
Ooma (Phone and Home Security),"""Alexa, tell Ooma to arm""",You have Ooma (Phone and Home Security) enabled. Do you want to open it?
Ooma (Phone and Home Security),Yes,"Please go to your Alexa app home screen, and choose Link Account, to complete setup for the Ooma skill."
Ooma (Phone and Home Security),"""Alexa, tell Ooma to arm""",You have Ooma (Phone and Home Security) enabled. Do you want to open it?
Ooma (Phone and Home Security),quit,
Ooma (Phone and Home Security),quit,
Ooma (Phone and Home Security),"""Alexa, ask Ooma for status of my sensors""",You have Ooma (Phone and Home Security) enabled. Do you want to open it?
