name,question,response
Mastermind,"Alexa, open Mastermind",What would you like to do?
Mastermind,help,"Mastermind is your cross platform Artificial Intelligence that works on all your voice-enabled devices. You can do things like send emails and text messages, find places, share your location and much more.I've sent a notification to your phone with all the things I can do for you.So, what would you like to do?"
Mastermind,stop,Later
Mastermind,quit,
Ask My Buddy,"Alexa, open Ask My Buddy","Welcome to Ask My Buddy, Who would you like to alert ?"
Ask My Buddy,help,"To send an alert just say alert and a name from your contact list or, just say alert and I will guide you, You can also just say, send help, To alert everyone in your list. Would you like to send an alert?"
Ask My Buddy,stop,Goodbye
Ask My Buddy,quit,
Life360,"Alexa, open Life360",<Audio only response>
Life360,help,"For Help, please visit the help pages on the Amazon web site."
Life360,stop,
Life360,quit,
Ooma (Phone and Home Security),"Alexa, open Ooma (Phone and Home Security)",You have Ooma (Phone and Home Security) enabled. Do you want to open it?
Ooma (Phone and Home Security),Yes,"Please go to your Alexa app home screen, and choose Link Account, to complete setup for the Ooma skill."
Ooma (Phone and Home Security),help,"For Help, please visit the help pages on the Amazon web site."
Ooma (Phone and Home Security),stop,
Ooma (Phone and Home Security),quit,
Alexa Prize Socialbots,"Alexa, open Alexa Prize Socialbots",Hmm. This socialbot is having trouble.
Alexa Prize Socialbots,help,"For Help, please visit the help pages on the Amazon web site."
Alexa Prize Socialbots,stop,
Alexa Prize Socialbots,quit,
Tell My Kids,"Alexa, open Tell My Kids",<Audio only response>
Tell My Kids,help,"For Help, please visit the help pages on the Amazon web site."
Tell My Kids,stop,
Tell My Kids,quit,
Shared Thoughts,"Alexa, open Shared Thoughts","Listen up Class. Here's your thought: Happiness can be found in even in the darkest of times, if one only remembers to turn on the light. -Dumbledore, Harry Potter and the Prisoner of Azkaban"
Shared Thoughts,help,"For Help, please visit the help pages on the Amazon web site."
Shared Thoughts,stop,
Shared Thoughts,quit,
Twitter Reader,"Alexa, open Twitter Reader","Welcome to Twitter Reader! I can tell you what is happening, can read your latest mentions, the last tweets you liked, or were posted by you. I can also search for trends by city. When I am reading out a list of tweets or trends, you can ask me to tell you more about the tweet or trend by number. Now, how can I help you?"
Twitter Reader,help,"I can do several things for you! I can tell you the top tweets on your home timeline, the last tweets you liked, recent tweets that mention you, or were posted by you. I can also search for trends by city. When I am reading out a list of tweets or trends, you can ask me to tell you more about the tweet or trend by number. Now, how can I help you?"
Twitter Reader,stop,Goodbye
Twitter Reader,quit,
Chat Bot,"Alexa, open Chat Bot","Welcome to Budget Bot. You can tell me when you make a purchase and I'll add it to your budget, or you can ask me about how much you've spent so far. What would you like to do?"
Chat Bot,help,"Welcome to Budget Bot. You can tell me when you make a purchase and I'll add it to your budget, or you can ask me about how much you've spent so far. What would you like to do?"
Chat Bot,stop,Goodbye!
Chat Bot,quit,
Sweet Talker,"Alexa, open Sweet Talker",
Sweet Talker,help,"To list available sounds, say “list sounds”. To list available meditations, say “list meditations”. Or say “sound”, or “meditation”, and I will choose for you."
Sweet Talker,stop,Good bye!
Sweet Talker,quit,
Eyes On You,"Alexa, open Eyes On You",<Audio only response>
Eyes On You,help,"For Help, please visit the help pages on the Amazon web site."
Eyes On You,stop,
Eyes On You,quit,
I Love You,"Alexa, open I Love You",You have I Choose You - An Unofficial Pokemon Guessing Game enabled. Do you want to open it?
I Love You,Yes,"Welcome to I Choose You, an unofficial Pokemon guessing game! Say 'start' to start playing!"
I Love You,help,I will ask you some questions that will identify what you Pokemon you are. Want to start now?
I Love You,stop,"Ok, see you next time!"
I Love You,quit,
Blue Sky,"Alexa, open Blue Sky","Welcome to Blue Sky. Please tell me what you want to talk to Blue Sky by saying, Jabil I love you or Jabil I miss you"
Blue Sky,help,"Welcome to Blue Sky. Please tell me what you want to talk to Blue Sky by saying, Jabil I love you or Jabil I miss you"
Blue Sky,stop,Thank you for trying Blue Sky. Have a nice day!
Blue Sky,quit,
Love Notes,"Alexa, open Love Notes","Hello my darling. Here is your love note from your sweetheart: I was just going to say something, but I forgot when I heard your sweet voice."
Love Notes,help,"For Help, please visit the help pages on the Amazon web site."
