name,question,response
ESPN,"""Alexa, open ESPN.""",<Audio only response>
ESPN,quit,
ESPN,"""Alexa, open ESPN.""",<Audio only response>
ESPN,"""Play ESPN Radio.""",ESPN Radio from TuneIn.
ESPN,quit,
ESPN,"""Alexa, open ESPN.""",<Audio only response>
ESPN,"""Listen to ESPN Chicago.""",Getting your Hit Nation station from iHeart Radio
ESPN,quit,
Dallas Cowboys (Official),"""Alexa, play Dallas Cowboys""",Schedule information for the next Cowboys game is not yet available.
Dallas Cowboys (Official),quit,
Dallas Cowboys (Official),"""Alexa, open ESPN.""",<Audio only response>
Dallas Cowboys (Official),quit,
Dallas Cowboys (Official),quit,
Dallas Cowboys (Official),"""Alexa, what's my Flash Briefing?""",Here's your news.
Dallas Cowboys (Official),quit,
Dallas Cowboys (Official),quit,
Yahoo Fantasy Football,"""Alexa, ask Yahoo Fantasy Football for a score update""","I'm sorry, but you have to have a head to head fantasy league connected to your Yahoo account to use this skill. Your league is not a head to head league.Users with points leagues and Pick ‰Û÷Em are currently not able to check their teams and games using this skill.In order to use this skill you'll need to join a head to head league and setup a team using the Yahoo Fantasy Football mobile app or website. Once you've done that, come back and I'll be happy to help."
Yahoo Fantasy Football,quit,
Yahoo Fantasy Football,"""Alexa, ask Yahoo Fantasy Football about my matchup""",You have Yahoo Fantasy Football enabled. Do you want to open it?
Yahoo Fantasy Football,Yes,"I'm sorry, but you have to have a head to head fantasy league connected to your Yahoo account to use this skill. Your league is not a head to head league.Users with points leagues and Pick ‰Û÷Em are currently not able to check their teams and games using this skill.In order to use this skill you'll need to join a head to head league and setup a team using the Yahoo Fantasy Football mobile app or website. Once you've done that, come back and I'll be happy to help."
Yahoo Fantasy Football,"""Alexa, ask Yahoo Fantasy Football about my matchup""",You have Yahoo Fantasy Football enabled. Do you want to open it?
Yahoo Fantasy Football,quit,
Yahoo Fantasy Football,quit,
Yahoo Fantasy Football,"""Alexa, ask Yahoo Fantasy Football if Cam Newton is playing this week""","This might answer your question: On Monday, December 17, Cam Newton had 4.7 fantasy points in the Panthers' loss to the Saints. He threw for 131 yards, and tallied 15 rushing yards."
Yahoo Fantasy Football,quit,
Yahoo Fantasy Football,quit,
College Football Rankings,"""Alexa ask college football rankings what are the top teams""","The top 25 teams are: # 1 Alabama, # 2 Clemson , # 3 Notre Dame , # 4 Michigan , # 5 Georgia , # 6 Oklahoma , # 7 West Virginia , # 8 Washington State , # 9 Ohio State , # 10 LSU , # 11 UCF , # 12 Syracuse , # 13 Texas , # 14 Utah State , # 15 Florida , # 16 Penn State , # 17 Washington , # 18 Iowa State , # 19 Cincinnati , # 20 Kentucky , # 21 Utah , # 22 Boston College , # 23 Boise State , # 24 Northwestern , # 25 Mississippi State"
College Football Rankings,quit,
College Football Rankings,"""Alexa ask college football rankings who are the top seven teams""","The top 7 teams are: # 1 Alabama, # 2 Clemson , # 3 Notre Dame , # 4 Michigan , # 5 Georgia , # 6 Oklahoma , # 7 West Virginia"
College Football Rankings,quit,
College Football Rankings,quit,
College Football Rankings,"""Alexa ask college football rankings what are the top ten teams""","The top 10 teams are: # 1 Alabama, # 2 Clemson , # 3 Notre Dame , # 4 Michigan , # 5 Georgia , # 6 Oklahoma , # 7 West Virginia , # 8 Washington State , # 9 Ohio State , # 10 LSU"
College Football Rankings,quit,
College Football Rankings,quit,
StatMuse,"""Alexa, ask Statmuse, how many touchdowns did Peyton Manning have in 2007?""","In his NFL career, Peyton Manning had 557 total touchdowns. He's ranked 1st all-time."
StatMuse,quit,
StatMuse,"""Alexa, ask Statmuse, how many touchdowns did Peyton Manning have in 2007?""","In his NFL career, Peyton Manning had 557 total touchdowns. He's ranked 1st all-time."
StatMuse,"""What about passing yards?""",Yards a sports statistic.
StatMuse,quit,
StatMuse,"""Alexa, ask Statmuse, how many touchdowns did Peyton Manning have in 2007?""","In his NFL career, Peyton Manning had 557 total touchdowns. He's ranked 1st all-time."
StatMuse,"""Who has hit the most homers this season?""","In the 2018 season, Khris Davis had the most home runs in Major League Baseball with 48."
StatMuse,quit,
