name,question,response
ESPN,"Alexa, open ESPN",You have ESPN enabled. Do you want to open it?
ESPN,Yes,"Welcome to ESPN, What would you like to do?"
ESPN,help,"you can ask me to play recent news, or ESPN Radio. What would you like to do?"
ESPN,stop,Good bye.
ESPN,quit,
Dallas Cowboys (Official),"Alexa, open Dallas Cowboys (Official)","Ok, Here's Cowboys Fan"
Dallas Cowboys (Official),help,"Say score to get last game score or live game score. Ask Cowboys next match up to get scheduled next game. Say rank to get Cowboys standing. You can also request super bowl wins to see how many times have the Cowboys won the super bowls. Or say fun facts to get more knowledge of Cowboys. If you do not hear clearly, say repeat."
Dallas Cowboys (Official),stop,See you at the game!
Dallas Cowboys (Official),quit,
Yahoo Fantasy Football,"Alexa, open Yahoo Fantasy Football","I'm sorry, but you have to have a head to head fantasy league connected to your Yahoo account to use this skill. Your league is not a head to head league.Users with points leagues and Pick ‘Em are currently not able to check their teams and games using this skill.In order to use this skill you'll need to join a head to head league and setup a team using the Yahoo Fantasy Football mobile app or website. Once you've done that, come back and I'll be happy to help."
Yahoo Fantasy Football,help,"For Help, please visit the help pages on the Amazon web site."
Yahoo Fantasy Football,stop,
Yahoo Fantasy Football,quit,
College Football Rankings,"Alexa, open College Football Rankings","Welcome to College Football Rankings! You can ask to hear any number of the top one to twenty five teams. If you need help, say Help!"
College Football Rankings,help,"You may ask what are the top 1 through 25 teams. You may also just say what are the rankings. Additionally, if you would like to close the application say close or stop! What would you like to do?"
College Football Rankings,stop,"Thank you, and goodbye!"
College Football Rankings,quit,
StatMuse,"Alexa, open StatMuse",<Audio only response>
StatMuse,help,"For Help, please visit the help pages on the Amazon web site."
StatMuse,stop,
StatMuse,quit,
Baseball Reference,"Alexa, open Baseball Reference","Hey, welcome to Baseball Reference ask me something!"
Baseball Reference,help,"Users are able to request a multitude of different statistics that can be further specified by rank from 1 to 10. By top amount, such as top two, top three, top four, etcetera. By year from 1871 to present day. And by either all of baseball, the national league, or, the american league. Also, after making an initial request you can easily sort through the ranking by asking who was next, previous, or requesting a specific rank."
Baseball Reference,stop,Goodbye
Baseball Reference,quit,
Coach Harbaugh,"Alexa, open Coach Harbaugh",<Audio only response>
Coach Harbaugh,help,"For Help, please visit the help pages on the Amazon web site."
Coach Harbaugh,stop,
Coach Harbaugh,quit,
NCAA March Madness,"Alexa, open NCAA March Madness",You have NCAA March Madness enabled. Do you want to open it?
NCAA March Madness,Yes,"Welcome to March Madness! Your go to place to find March Madness tournament live broadcasts and game coverage. I can give you scores, schedules, live radio, or information about your bracket picks. What would you like?"
NCAA March Madness,help,"The March Madness skill is here to keep you up to date with the tournament. You can hear the schedule, find scores or listen to live games. Try saying things like: ""Listen to the Duke versus North Carolina game"", ""What games are live today"", or ""What is the score of the Villanova game?"" What can I help you with?"
NCAA March Madness,stop,Okay.
NCAA March Madness,quit,
Fantasy Football,"Alexa, open Fantasy Football","I'm sorry, but you have to have a head to head fantasy league connected to your Yahoo account to use this skill. Your league is not a head to head league.Users with points leagues and Pick ‘Em are currently not able to check their teams and games using this skill.In order to use this skill you'll need to join a head to head league and setup a team using the Yahoo Fantasy Football mobile app or website. Once you've done that, come back and I'll be happy to help."
Fantasy Football,help,"For Help, please visit the help pages on the Amazon web site."
Fantasy Football,stop,
Fantasy Football,quit,
Dodgers Baseball Fan Trivia,"Alexa, open Dodgers Baseball Fan Trivia","I will ask you 5 questions, try to get as many right as you can. Just say the number of the answer. Let's begin. Question 1. What did Babe Herman do for the first time on May 18, 1931?: 1. Hit 3 home runs. 2. Hit for the Cycle. 3. Steal 4 bases. 4. Walk at each at bat."
Dodgers Baseball Fan Trivia,help,"I will ask you 5 multiple choice questions. Respond with the number of the answer. For example, say one, two, three, or four. To start a new game at any time, say, start game. To repeat the last question, say, repeat. Would you like to keep playing?"
Dodgers Baseball Fan Trivia,stop,Good bye!
Dodgers Baseball Fan Trivia,quit,
NBA,"Alexa, open NBA",You have Stock Prices by Opening Bell enabled. Do you want to open it?
NBA,Yes,What stock price would you like me to look up?
NBA,help,"I can tell you the stock price of any publicly traded company such as Apple, Tesla, Microsoft, and many more. Which would you like?"
NBA,stop,O.K.
NBA,quit,
How many days since Michigan has beaten Ohio State,"Alexa, open How many days since Michigan has beaten Ohio State","Hmm, I don't know that."
How many days since Michigan has beaten Ohio State,help,"For Help, please visit the help pages on the Amazon web site."
How many days since Michigan has beaten Ohio State,stop,
How many days since Michigan has beaten Ohio State,quit,
New York Knicks,"Alexa, open New York Knicks","Sorry, I don't know that one."
New York Knicks,help,"For Help, please visit the help pages on the Amazon web site."
New York Knicks,stop,
New York Knicks,quit,
Golden State Warriors,"Alexa, open Golden State Warriors",You have Stock Prices by Opening Bell enabled. Do you want to open it?
Golden State Warriors,Yes,What stock price would you like me to look up?
Golden State Warriors,help,"I can tell you the stock price of any publicly traded company such as Apple, Tesla, Microsoft, and many more. Which would you like?"
Golden State Warriors,stop,O.K.
Golden State Warriors,quit,
Roll Tide Roll,"Alexa, open Roll Tide Roll",You have RollTide enabled. Do you want to open it?
Roll Tide Roll,Yes,Roll tide roll!
Roll Tide Roll,help,"For Help, please visit the help pages on the Amazon web site."
Roll Tide Roll,stop,
Roll Tide Roll,quit,
PGA TOUR,"Alexa, open PGA TOUR","PGA Tour. The Zurich Classic of New Orleans event is currently under way. You can ask for the leaderboard, or ask about a specific player. Which will it be?"
PGA TOUR,help,"Here are some things you can say: Update me on the leaderboard, How is Jason Day doing, Listen to the latest podcast, or Listen to the livestream. So, how can I help?"
PGA TOUR,stop,Thank you for using PGA tour.
PGA TOUR,quit,
ESPN Radio (via TuneIn),"Alexa, open ESPN Radio (via TuneIn)",ESPN Radio from TuneIn.
ESPN Radio (via TuneIn),help,"For Help, please visit the help pages on the Amazon web site."
ESPN Radio (via TuneIn),stop,
ESPN Radio (via TuneIn),quit,
Basketball quiz,"Alexa, open Basketball quiz","I will ask you 5 questions, try to get as many right as you can. Just say the number of the answer. Let's begin. Question 1. How wide is the free throw line in feet ? 1. 12. 2. 14. 3. 10. 4. 15."
Basketball quiz,help,"I will ask you 5 multiple choice questions. Respond with the number of the answer. For example, say one, two, three, or four. To start a new game at any time, say, start game. To repeat the last question, say, repeat. Would you like to keep playing?"
Basketball quiz,stop,Good bye!
Basketball quiz,quit,
ESPN Flash Briefing,"Alexa, open ESPN Flash Briefing",You have ESPN enabled. Do you want to open it?
ESPN Flash Briefing,Yes,"Welcome to ESPN, What would you like to do?"
ESPN Flash Briefing,help,"you can ask me to play recent news, or ESPN Radio. What would you like to do?"
ESPN Flash Briefing,stop,Good bye.
ESPN Flash Briefing,quit,
Golf Channel,"Alexa, open Golf Channel","Ok, Here's Watch TV with Stream Player"
Golf Channel,help,"You can say „start“ followed by the channels name, for example say ""watch abc news"" or ""start channel one"". To see what channels are available please take a look at the skill description in your alexa app. What would you like to do?"
Golf Channel,stop,Have a nice day. Please rate this skill in the Skill store if you want. I would appreciate it.
Golf Channel,quit,
New England Patriots,"Alexa, open New England Patriots",You have Stock Prices by Opening Bell enabled. Do you want to open it?
New England Patriots,Yes,What stock price would you like me to look up?
New England Patriots,help,"I can tell you the stock price of any publicly traded company such as Apple, Tesla, Microsoft, and many more. Which would you like?"
New England Patriots,stop,O.K.
New England Patriots,quit,
Boston Celtics,"Alexa, open Boston Celtics",You have Stock Prices by Opening Bell enabled. Do you want to open it?
Boston Celtics,Yes,What stock price would you like me to look up?
Boston Celtics,help,"I can tell you the stock price of any publicly traded company such as Apple, Tesla, Microsoft, and many more. Which would you like?"
Boston Celtics,stop,O.K.
Boston Celtics,quit,
Racing Events by Neds,"Alexa, open Racing Events by Neds",You have Stock Prices by Opening Bell enabled. Do you want to open it?
Racing Events by Neds,Yes,What stock price would you like me to look up?
Racing Events by Neds,help,"I can tell you the stock price of any publicly traded company such as Apple, Tesla, Microsoft, and many more. Which would you like?"
Racing Events by Neds,stop,O.K.
Racing Events by Neds,quit,
The Great Odin,"Alexa, open The Great Odin",
The Great Odin,help,
The Great Odin,stop,
The Great Odin,quit,
RollTide,"Alexa, open RollTide",You have Stock Prices by Opening Bell enabled. Do you want to open it?
RollTide,Yes,What stock price would you like me to look up?
RollTide,help,"I can tell you the stock price of any publicly traded company such as Apple, Tesla, Microsoft, and many more. Which would you like?"
RollTide,stop,O.K.
RollTide,quit,
Milwaukee Bucks,"Alexa, open Milwaukee Bucks",You have Stock Prices by Opening Bell enabled. Do you want to open it?
Milwaukee Bucks,Yes,What stock price would you like me to look up?
Milwaukee Bucks,help,"I can tell you the stock price of any publicly traded company such as Apple, Tesla, Microsoft, and many more. Which would you like?"
Milwaukee Bucks,stop,O.K.
Milwaukee Bucks,quit,
'We Are' Cheer,"Alexa, open 'We Are' Cheer",You have Christmas Cheer enabled. Do you want to open it?
'We Are' Cheer,Yes,<Short audio>
'We Are' Cheer,help,"For Help, please visit the help pages on the Amazon web site."
'We Are' Cheer,stop,
'We Are' Cheer,quit,
Calling the Hogs,"Alexa, open Calling the Hogs","What US call sign would you like me to lookup? For example, say W A 1 W or Whiskey 1 Alpha Whiskey."
Calling the Hogs,help,"This skill looks up information for US ham radio call signs only, and understands the regular and phonetic alphabets. To get basic name, class, and location information, just give me a call sign. For example you can say Alexa, ask call sign W 1 A W or, Alexa, ask call sign Whiskey 1 Alpha Whiskey. To get additional information such as latitude, longitude, and license expiration date, say Alexa, Ask Call sign tell me everything about W 1 A W. What US call sign should I look up?"
Calling the Hogs,stop,"OK, goodbye."
Calling the Hogs,quit,
Seventh Inning Stretch Baseball - Buttons Optional,"Alexa, open Seventh Inning Stretch Baseball - Buttons Optional",<Audio only response>
Seventh Inning Stretch Baseball - Buttons Optional,help,"For Help, please visit the help pages on the Amazon web site."
Seventh Inning Stretch Baseball - Buttons Optional,stop,
Seventh Inning Stretch Baseball - Buttons Optional,quit,
American Football Trivia,"Alexa, open American Football Trivia","I will ask you 5 questions, try to get as many right as you can. Just say the number of the answer. Let's begin. Question 1. Who was the first left-handed quarterback to win a Super Bowl? 1. Frankie Albert (49ers). 2. Steve Young (49ers). 3. Ken Stabler (Raiders). 4. Boomer Esaison (Bengals)."
American Football Trivia,help,"I will ask you 5 multiple choice questions. Respond with the number of the answer. For example, say one, two, three, or four. To start a new game at any time, say, start game. To repeat the last question, say, repeat. Would you like to keep playing?"
American Football Trivia,stop,Good bye!
American Football Trivia,quit,
NASCAR,"Alexa, open NASCAR",NASCAR contains mature content that may not be suitable for all ages
NASCAR,help,"For Help, please visit the help pages on the Amazon web site."
NASCAR,stop,
NASCAR,quit,
The Capitals,"Alexa, open The Capitals","First you need to finish linking your Capital One account in your Alexa app. You'll know you're done, when you see a screen that says, your Capital One skill is successfully linked."
The Capitals,help,"For Help, please visit the help pages on the Amazon web site."
The Capitals,stop,
The Capitals,quit,
Steelers Fan,"Alexa, open Steelers Fan",You have Stock Prices by Opening Bell enabled. Do you want to open it?
Steelers Fan,Yes,What stock price would you like me to look up?
Steelers Fan,help,"I can tell you the stock price of any publicly traded company such as Apple, Tesla, Microsoft, and many more. Which would you like?"
Steelers Fan,stop,O.K.
Steelers Fan,quit,
NBA Flash Briefing,"Alexa, open NBA Flash Briefing",Here's your news.
NBA Flash Briefing,help,"For Help, please visit the help pages on the Amazon web site."
NBA Flash Briefing,stop,
NBA Flash Briefing,quit,
Bleed Purple,"Alexa, open Bleed Purple",You have Stock Prices by Opening Bell enabled. Do you want to open it?
Bleed Purple,Yes,What stock price would you like me to look up?
Bleed Purple,help,"I can tell you the stock price of any publicly traded company such as Apple, Tesla, Microsoft, and many more. Which would you like?"
Bleed Purple,stop,O.K.
Bleed Purple,quit,
Marshawn Lynch's BeastMode,"Alexa, open Marshawn Lynch's BeastMode","Welcome to Marshawn Lynch's Beast Mode skill, you can ask things like where did you go to college, what's your favorite candy, or ask a press conference question. like how was that defense, or what's next for you. What would you like to ask?"
Marshawn Lynch's BeastMode,help,"This skill allows you to have some fun asking Marshawn Lynch press conference questions, or you can ask about beast mode or facts about Marshawn. You can say things like Where were you born, or what's your favorite candy. What would you like to know about Marshawn?"
Marshawn Lynch's BeastMode,stop,"Even if the odds are stacked against you, there is always a way out. Visit us anytime at beast mode online.com!"
Marshawn Lynch's BeastMode,quit,
Surfable,"Alexa, open Surfable","oh snap. welcome to Surfable!. I can tell you surf reports of popular spots in California. To get started tell me the name of the surf spot you are intersted in. For instance you can say, Mavericks, and I will tell you the surf report at Mavericks. What spot are you interested in?"
Surfable,help,"Surfable can tell you the surf report at popular surf spots in California. To get started say your surf spots name. For instance you can say, seal beach pier, and you will get the surf report at seal beach pier. Which surf spot are you intersted in?"
Surfable,stop,
Surfable,quit,
Seahawks Fan,"Alexa, open Seahawks Fan",<Audio only response>
Seahawks Fan,help,"For Help, please visit the help pages on the Amazon web site."
Seahawks Fan,stop,
Seahawks Fan,quit,
theScore Sports,"Alexa, open theScore Sports",You have Stock Prices by Opening Bell enabled. Do you want to open it?
theScore Sports,Yes,What stock price would you like me to look up?
theScore Sports,help,"I can tell you the stock price of any publicly traded company such as Apple, Tesla, Microsoft, and many more. Which would you like?"
theScore Sports,stop,O.K.
theScore Sports,quit,
Patriots Fan,"Alexa, open Patriots Fan",You have Stock Prices by Opening Bell enabled. Do you want to open it?
Patriots Fan,Yes,What stock price would you like me to look up?
Patriots Fan,help,"I can tell you the stock price of any publicly traded company such as Apple, Tesla, Microsoft, and many more. Which would you like?"
Patriots Fan,stop,O.K.
Patriots Fan,quit,
Cricket Info,"Alexa, open Cricket Info",You have Stock Prices by Opening Bell enabled. Do you want to open it?
Cricket Info,Yes,What stock price would you like me to look up?
Cricket Info,help,"I can tell you the stock price of any publicly traded company such as Apple, Tesla, Microsoft, and many more. Which would you like?"
Cricket Info,stop,O.K.
Cricket Info,quit,
Baseball Live,"Alexa, open Baseball Live",<Audio only response>
Baseball Live,help,"For Help, please visit the help pages on the Amazon web site."
Baseball Live,stop,
Baseball Live,quit,
The Rookie's Guide to the NFL,"Alexa, open The Rookie's Guide to the NFL",You have The Rookie's Guide to the NFL enabled. Do you want to open it?
The Rookie's Guide to the NFL,Yes,<Audio only response>
The Rookie's Guide to the NFL,help,"For Help, please visit the help pages on the Amazon web site."
The Rookie's Guide to the NFL,stop,
The Rookie's Guide to the NFL,quit,
Overwatch League,"Alexa, open Overwatch League",You have Stock Prices by Opening Bell enabled. Do you want to open it?
Overwatch League,Yes,What stock price would you like me to look up?
Overwatch League,help,"I can tell you the stock price of any publicly traded company such as Apple, Tesla, Microsoft, and many more. Which would you like?"
Overwatch League,stop,O.K.
Overwatch League,quit,
Cowboys Fan,"Alexa, open Cowboys Fan","Welcome to Cowboys Fan. You can start by saying, Give me a flash briefing on the Cowboys to get team's ranking, previous game result and next game schedule."
Cowboys Fan,help,"Say score to get last game score or live game score. Ask Cowboys next match up to get scheduled next game. Say rank to get Cowboys standing. You can also request super bowl wins to see how many times have the Cowboys won the super bowls. Or say fun facts to get more knowledge of Cowboys. If you do not hear clearly, say repeat."
Cowboys Fan,stop,Lets go Cowboys!
Cowboys Fan,quit,
CBS Sports Minute,"Alexa, open CBS Sports Minute",You have CBS News: Live Breaking News enabled. Do you want to open it?
CBS Sports Minute,Yes,"Sorry, I'm having trouble accessing your CBS News: Live Breaking News skill right now"
CBS Sports Minute,help,"For Help, please visit the help pages on the Amazon web site."
CBS Sports Minute,stop,
CBS Sports Minute,quit,
College Football Roster Info,"Alexa, open College Football Roster Info",<Audio only response>
College Football Roster Info,help,"For Help, please visit the help pages on the Amazon web site."
College Football Roster Info,stop,
College Football Roster Info,quit,
