name,question,response
Big Sky,"""Alexa, open Big Sky.""",You have Big Sky enabled. Do you want to open it?
Big Sky,Yes,""" Welcome to big sky. I've sent a card to the home screen of the alexa app. Click on manage permissions to allow Big Sky access to your device address. For the most accurate hyperlocal forecasts, and to customize your report, you'll need to link your account. After saving permissions, click on settings, and then link account, to get the most out of Big Sky"""
Big Sky,"""Alexa, open Big Sky.""",You have Big Sky enabled. Do you want to open it?
Big Sky,quit,
Big Sky,"""Alexa, ask Big Sky if it will rain in three hours.""","Hmm, I don't know that."
Big Sky,quit,
Big Sky,quit,
Big Sky,"""Alexa, ask Big Sky to show the radar.""",You have Big Sky enabled. Do you want to open it?
Big Sky,Yes,""" Welcome to big sky. I've sent a card to the home screen of the alexa app. Click on manage permissions to allow Big Sky access to your device address. For the most accurate hyperlocal forecasts, and to customize your report, you'll need to link your account. After saving permissions, click on settings, and then link account, to get the most out of Big Sky"""
Big Sky,"""Alexa, ask Big Sky to show the radar.""",You have Big Sky enabled. Do you want to open it?
Big Sky,quit,
Big Sky,quit,
Weather,"""Alexa, what's my Flash Briefing?""",Here's your news.
Weather,quit,
Weather,"""Alexa, what's in the news?""",Here's your news.
Weather,quit,
Weather,quit,
Weather,"""Alexa, what's my Flash Briefing?""",Here's your news.
Weather,quit,
Weather,quit,
AccuWeather,"""Alexa, start AccuWeather.""",This might answer your question: Amazon Alexa started in 2014.
AccuWeather,quit,
AccuWeather,"""Alexa, ask AccuWeather what is the weather like today?""","In Boulder, it's 54 degrees Fahrenheit with partly cloudy skies. Tonight's forecast calls for more of the same, with a low of 42 degrees."
AccuWeather,quit,
AccuWeather,quit,
AccuWeather,"""Alexa, ask AccuWeather what is the weather for next weekend?""",I only have weather information for the next 10 days.
AccuWeather,quit,
AccuWeather,quit,
Zyrtec ,"""Alexa, start Zyrtec.""",This might answer your question: Amazon Alexa started in 2014.
Zyrtec ,quit,
Zyrtec ,"""Alexa, ask Zyrtec for my AllergyCast.""",You have Zyrtec – Your Daily AllergyCast enabled. Do you want to open it?
Zyrtec ,Yes,"Welcome to Zyrtec. Today in Boulder, the pollen count is High, at 11.7 out of 12. the Allergy Impact is 9.12, which is lower than the pollen count, so Tissues away, it may not be so bad today. Would you like to hear today’s predominant pollens or more about Allergy Impact?"
Zyrtec ,"""Alexa, ask Zyrtec for my AllergyCast.""",You have Zyrtec – Your Daily AllergyCast enabled. Do you want to open it?
Zyrtec ,quit,
Zyrtec ,quit,
Zyrtec,"""Alexa, tell Zyrtec I'm feeling good today.""",You have Zyrtec – Your Daily AllergyCast enabled. Do you want to open it?
Zyrtec,Yes,"Welcome to Zyrtec. Today in Boulder, the pollen count is High, at 11.7 out of 12. the Allergy Impact is 9.12, which is lower than the pollen count, so Tissues away, it may not be so bad today. Would you like to hear today’s predominant pollens or more about Allergy Impact?"
Zyrtec,"""Alexa, tell Zyrtec I'm feeling good today.""","So sorry to hear that! I will record that your allergies made you feel bad in your Alexa app, along with Yesterday's pesky pollens."
Zyrtec,quit,
MyRadar NOAA Weather Radar,"""Alexa, load my radar""","Hmm, I found a few skills that might help."
MyRadar NOAA Weather Radar,quit,
MyRadar NOAA Weather Radar,"""Alexa, open Big Sky.""",You have Big Sky enabled. Do you want to open it?
MyRadar NOAA Weather Radar,Yes,""" Welcome to big sky. I've sent a card to the home screen of the alexa app. Click on manage permissions to allow Big Sky access to your device address. For the most accurate hyperlocal forecasts, and to customize your report, you'll need to link your account. After saving permissions, click on settings, and then link account, to get the most out of Big Sky"""
MyRadar NOAA Weather Radar,"""Alexa, open Big Sky.""",You have Big Sky enabled. Do you want to open it?
MyRadar NOAA Weather Radar,quit,
MyRadar NOAA Weather Radar,quit,
MyRadar NOAA Weather Radar,"""Alexa, start AccuWeather.""",This might answer your question: Amazon Alexa started in 2014.
MyRadar NOAA Weather Radar,quit,
MyRadar NOAA Weather Radar,quit,
My AcuRite,"""Alexa, ask My AcuRite what is my current condition""","Ok, Here's My AcuRite"
My AcuRite,quit,
My AcuRite,"""Alexa, ask My AcuRite to list my devices""",
My AcuRite,quit,
My AcuRite,quit,
My AcuRite,"""Alexa, open My AcuRite""",Please use the Alexa app to link to your my accurite account.
My AcuRite,quit,
My AcuRite,quit,
Weather Sky,"""Alexa, start Weather Sky""",Welcome back to Weather Sky. It looks like you haven't finished the introduction and setup. Would you like to continue? It will take about 2 and a half minutes to finish.
Weather Sky,quit,
