name,question,response
Big Sky,"Alexa, open Big Sky",""" Welcome to big sky. I've sent a card to the home screen of the alexa app. Click on manage permissions to allow Big Sky access to your device address. For the most accurate hyperlocal forecasts, and to customize your report, you'll need to link your account. After saving permissions, click on settings, and then link account, to get the most out of Big Sky"""
Big Sky,help,"For Help, please visit the help pages on the Amazon web site."
Big Sky,stop,
Big Sky,quit,
Big Sky,"Alexa, open Big Sky",""" Welcome to big sky. I've sent a card to the home screen of the alexa app. Click on manage permissions to allow Big Sky access to your device address. For the most accurate hyperlocal forecasts, and to customize your report, you'll need to link your account. After saving permissions, click on settings, and then link account, to get the most out of Big Sky"""
Big Sky,help,"For Help, please visit the help pages on the Amazon web site."
Big Sky,stop,
Big Sky,quit,
Big Sky,"Alexa, open Big Sky",""" Welcome to big sky. I've sent a card to the home screen of the alexa app. Click on manage permissions to allow Big Sky access to your device address. For the most accurate hyperlocal forecasts, and to customize your report, you'll need to link your account. After saving permissions, click on settings, and then link account, to get the most out of Big Sky"""
Big Sky,help,"For Help, please visit the help pages on the Amazon web site."
Big Sky,stop,
Big Sky,quit,
Weather,"Alexa, open Weather",Welcome back to Weather Sky. It looks like you haven't finished the introduction and setup. Would you like to continue? It will take about 2 and a half minutes to finish.
Weather,help,"I have three sections of help available. They are, how to ask for a weather forecast or a temperature report, how to use the interactive mode, and how to change the weather. Would you like to hear how to make requests for weather and temperature? Say no to continue to the next section, or cancel to exit."
Weather,stop,Ok. Ask for help anytime.
Weather,quit,
Weather,"Alexa, open Weather",Welcome back to Weather Sky. It looks like you haven't finished the introduction and setup. Would you like to continue? It will take about 2 and a half minutes to finish.
Weather,help,"I have three sections of help available. They are, how to ask for a weather forecast or a temperature report, how to use the interactive mode, and how to change the weather. Would you like to hear how to make requests for weather and temperature? Say no to continue to the next section, or cancel to exit."
Weather,stop,"Ok. If you'd like to hear help again, just ask and I'll be happy to assist."
Weather,quit,
Weather,"Alexa, open Weather",Welcome back to Weather Sky. It looks like you haven't finished the introduction and setup. Would you like to continue? It will take about 2 and a half minutes to finish.
Weather,help,"I have three sections of help available. They are, how to ask for a weather forecast or a temperature report, how to use the interactive mode, and how to change the weather. Would you like to hear how to make requests for weather and temperature? Say no to continue to the next section, or cancel to exit."
Weather,stop,Ok. Ask for help anytime.
Weather,quit,
AccuWeather,"Alexa, open AccuWeather","Hello! Welcome to AccuWeather. In order to provide you the best forecast results I need to know your location. Please open the Alexa companion app on your mobile device and find the card I sent you to enable this permission. If you do not wish to do that. You can ask me about weather for any major location in the world. For instance, How is the weather like at London? What would you like to know?"
AccuWeather,help,"Here are some things you can say, What is the weather like today? What is my location? When will the sun set? Or tell me my weather alerts. I can also send morning notifications, about rain or snow in the forecast, just say, enable notifications. So what can I help you with?"
AccuWeather,stop,See you next time!
AccuWeather,quit,
AccuWeather,"Alexa, open AccuWeather","Hello! Welcome to AccuWeather. In order to provide you the best forecast results I need to know your location. Please open the Alexa companion app on your mobile device and find the card I sent you to enable this permission. If you do not wish to do that. You can ask me about weather for any major location in the world. For instance, How is the weather like at London? What would you like to know?"
AccuWeather,help,"Here are some things you can say, What is the weather like today? What is my location? When will the sun set? Or tell me my weather alerts. I can also send morning notifications, about rain or snow in the forecast, just say, enable notifications. So what can I help you with?"
AccuWeather,stop,See you next time!
AccuWeather,quit,
AccuWeather,"Alexa, open AccuWeather","Hello! Welcome to AccuWeather. In order to provide you the best forecast results I need to know your location. Please open the Alexa companion app on your mobile device and find the card I sent you to enable this permission. If you do not wish to do that. You can ask me about weather for any major location in the world. For instance, How is the weather like at London? What would you like to know?"
AccuWeather,help,"Here are some things you can say, What is the weather like today? What is my location? When will the sun set? Or tell me my weather alerts. I can also send morning notifications, about rain or snow in the forecast, just say, enable notifications. So what can I help you with?"
AccuWeather,stop,See you next time!
AccuWeather,quit,
Zyrtec,"Alexa, open Zyrtec","Welcome to Zyrtec. Today in Boulder, the pollen count is High, at 11.7 out of 12. the Allergy Impact is 9.12, which is lower than the pollen count, so Tissues away, it may not be so bad today. Would you like to hear today’s predominant pollens or more about Allergy Impact?"
Zyrtec,help,"No problem! I’m here to help. I can help you plan for the day with your Allergycast® report and record how today’s pollen is making you feel so you can learn what’s making you sneeze. For your full Allergycast® report say Today’s Allergycast® report. To customize your AllergyCast® settings say Change my AllergyCast® settings. To record your allergies for today say I’m feeling Good or Bad. Or say Change my default location to City, State. What would you like to do?"
Zyrtec,stop,"Ok. When you need allergen information, I am here 24 7 3 65. Remember, if you need to stock up on Zyrtec®, I can help. Just say my name, then order Zyrtec®"
Zyrtec,quit,
Zyrtec,"Alexa, open Zyrtec","Welcome to Zyrtec. Today in Boulder, the pollen count is High, at 11.7 out of 12. the Allergy Impact is 9.12, which is lower than the pollen count, so Tissues away, it may not be so bad today. Would you like to hear today’s predominant pollens or more about Allergy Impact?"
Zyrtec,help,"No problem! I’m here to help. I can help you plan for the day with your Allergycast® report and record how today’s pollen is making you feel so you can learn what’s making you sneeze. For your full Allergycast® report say Today’s Allergycast® report. To customize your AllergyCast® settings say Change my AllergyCast® settings. To record your allergies for today say I’m feeling Good or Bad. Or say Change my default location to City, State. What would you like to do?"
Zyrtec,stop,"Ok. When you need allergen information, I am here 24 7 3 65. Remember, if you need to stock up on Zyrtec®, I can help. Just say my name, then order Zyrtec®"
Zyrtec,quit,
Zyrtec,"Alexa, open Zyrtec","Welcome to Zyrtec. Today in Boulder, the pollen count is High, at 11.7 out of 12. the Allergy Impact is 9.12, which is lower than the pollen count, so Tissues away, it may not be so bad today. Would you like to hear today’s predominant pollens or more about Allergy Impact?"
Zyrtec,help,"No problem! I’m here to help. I can help you plan for the day with your Allergycast® report and record how today’s pollen is making you feel so you can learn what’s making you sneeze. For your full Allergycast® report say Today’s Allergycast® report. To customize your AllergyCast® settings say Change my AllergyCast® settings. To record your allergies for today say I’m feeling Good or Bad. Or say Change my default location to City, State. What would you like to do?"
Zyrtec,stop,"Ok. When you need allergen information, I am here 24 7 3 65. Remember, if you need to stock up on Zyrtec®, I can help. Just say my name, then order Zyrtec®"
Zyrtec,quit,
MyRadar NOAA Weather Radar,"Alexa, open MyRadar NOAA Weather Radar",Do you mean Aircraft Radar?
MyRadar NOAA Weather Radar,help,"For Help, please visit the help pages on the Amazon web site."
MyRadar NOAA Weather Radar,stop,
MyRadar NOAA Weather Radar,quit,
MyRadar NOAA Weather Radar,"Alexa, open MyRadar NOAA Weather Radar",Do you mean Aircraft Radar?
MyRadar NOAA Weather Radar,help,"For Help, please visit the help pages on the Amazon web site."
MyRadar NOAA Weather Radar,stop,
MyRadar NOAA Weather Radar,quit,
MyRadar NOAA Weather Radar,"Alexa, open MyRadar NOAA Weather Radar",Do you mean Aircraft Radar?
MyRadar NOAA Weather Radar,help,"For Help, please visit the help pages on the Amazon web site."
MyRadar NOAA Weather Radar,stop,
MyRadar NOAA Weather Radar,quit,
My AcuRite,"Alexa, open My AcuRite",Please use the Alexa app to link to your my accurite account.
My AcuRite,help,"For Help, please visit the help pages on the Amazon web site."
My AcuRite,stop,
My AcuRite,quit,
My AcuRite,"Alexa, open My AcuRite",Please use the Alexa app to link to your my accurite account.
My AcuRite,help,"For Help, please visit the help pages on the Amazon web site."
My AcuRite,stop,
My AcuRite,quit,
My AcuRite,"Alexa, open My AcuRite",Please use the Alexa app to link to your my accurite account.
My AcuRite,help,"For Help, please visit the help pages on the Amazon web site."
My AcuRite,stop,
My AcuRite,quit,
Weather Sky,"Alexa, open Weather Sky",Welcome back to Weather Sky. It looks like you haven't finished the introduction and setup. Would you like to continue? It will take about 2 and a half minutes to finish.
Weather Sky,help,"I have three sections of help available. They are, how to ask for a weather forecast or a temperature report, how to use the interactive mode, and how to change the weather. Would you like to hear how to make requests for weather and temperature? Say no to continue to the next section, or cancel to exit."
Weather Sky,stop,Ok. I'm ready to assist anytime.
Weather Sky,quit,
Weather Sky,"Alexa, open Weather Sky",Welcome back to Weather Sky. It looks like you haven't finished the introduction and setup. Would you like to continue? It will take about 2 and a half minutes to finish.
Weather Sky,help,"I have three sections of help available. They are, how to ask for a weather forecast or a temperature report, how to use the interactive mode, and how to change the weather. Would you like to hear how to make requests for weather and temperature? Say no to continue to the next section, or cancel to exit."
Weather Sky,stop,"Ok. If you'd like to hear help again, just ask and I'll be happy to assist."
Weather Sky,quit,
Weather Sky,"Alexa, open Weather Sky",Welcome back to Weather Sky. It looks like you haven't finished the introduction and setup. Would you like to continue? It will take about 2 and a half minutes to finish.
Weather Sky,help,"I have three sections of help available. They are, how to ask for a weather forecast or a temperature report, how to use the interactive mode, and how to change the weather. Would you like to hear how to make requests for weather and temperature? Say no to continue to the next section, or cancel to exit."
Weather Sky,stop,"Ok. If you have questions later, just ask for help and I'll be happy to assist you."
Weather Sky,quit,
Sweater Weather,"Alexa, open Sweater Weather",
Sweater Weather,help,"For Help, please visit the help pages on the Amazon web site."
Sweater Weather,stop,
